Date,Open,High,Low,Close*,Adj Close**,Volume,Statues
27-Mar-21,"55,137.57","56,568.21","54,242.91","55,973.51","55,973.51","47,266,542,233",Before
28-Mar-21,"55,974.94","56,610.31","55,071.11","55,950.75","55,950.75","47,686,580,918",Before
29-Mar-21,"55,947.90","58,342.10","55,139.34","57,750.20","57,750.20","57,625,587,027",Before
30-Mar-21,"57,750.13","59,447.22","57,251.55","58,917.69","58,917.69","54,414,116,432",Before
31-Mar-21,"58,930.28","59,930.03","57,726.42","58,918.83","58,918.83","65,520,826,225",Before
1-Apr-21,"58,926.56","59,586.07","58,505.28","59,095.81","59,095.81","61,669,163,792",Before
2-Apr-21,"59,098.88","60,267.19","58,869.28","59,384.31","59,384.31","58,727,860,620",Before
3-Apr-21,"59,397.41","60,110.27","57,603.89","57,603.89","57,603.89","59,641,344,484",Before
4-Apr-21,"57,604.84","58,913.75","57,168.68","58,758.55","58,758.55","50,749,662,970",Before
5-Apr-21,"58,760.88","59,891.30","57,694.82","59,057.88","59,057.88","60,706,272,115",Before
6-Apr-21,"59,171.93","59,479.58","57,646.81","58,192.36","58,192.36","66,058,027,988",Before
7-Apr-21,"58,186.51","58,731.14","55,604.02","56,048.94","56,048.94","75,645,303,584",Before
8-Apr-21,"56,099.91","58,338.74","55,879.09","58,323.95","58,323.95","53,053,855,641",Before
9-Apr-21,"58,326.56","58,937.05","57,807.86","58,245.00","58,245.00","46,655,208,546",Before
10-Apr-21,"58,253.78","61,276.66","58,038.71","59,793.23","59,793.23","58,238,470,525",Before
11-Apr-21,"59,846.23","60,790.55","59,289.80","60,204.96","60,204.96","46,280,252,580",Before
12-Apr-21,"60,175.95","61,253.04","59,589.88","59,893.45","59,893.45","51,828,688,519",Before
13-Apr-21,"59,890.02","63,742.29","59,869.96","63,503.46","63,503.46","69,983,454,362",Before
14-Apr-21,"63,523.75","64,863.10","61,554.80","63,109.70","63,109.70","77,451,779,687",Before
15-Apr-21,"63,075.20","63,821.67","62,208.96","63,314.01","63,314.01","60,954,381,579",Before
16-Apr-21,"63,258.50","63,594.72","60,222.53","61,572.79","61,572.79","84,293,007,468",Before
17-Apr-21,"61,529.92","62,572.18","60,361.35","60,683.82","60,683.82","66,138,759,198",Before
18-Apr-21,"60,701.89","61,057.46","52,829.54","56,216.18","56,216.18","97,468,872,758",Before
19-Apr-21,"56,191.59","57,520.05","54,368.59","55,724.27","55,724.27","65,344,865,159",Before
20-Apr-21,"55,681.79","57,062.15","53,448.05","56,473.03","56,473.03","67,849,323,955",Before
21-Apr-21,"56,471.13","56,757.97","53,695.47","53,906.09","53,906.09","54,926,612,466",Before
22-Apr-21,"53,857.11","55,410.23","50,583.81","51,762.27","51,762.27","74,798,630,778",Before
23-Apr-21,"51,739.81","52,120.79","47,714.66","51,093.65","51,093.65","86,668,667,320",Before
24-Apr-21,"51,143.23","51,167.56","48,805.29","50,050.87","50,050.87","49,014,494,781",Before
25-Apr-21,"50,052.83","50,506.02","47,159.48","49,004.25","49,004.25","46,117,114,240",Before
26-Apr-21,"49,077.79","54,288.00","48,852.80","54,021.75","54,021.75","58,284,039,825",Before
27-Apr-21,"54,030.30","55,416.96","53,319.19","55,033.12","55,033.12","49,448,222,757",Before
28-Apr-21,"55,036.64","56,227.21","53,887.92","54,824.70","54,824.70","48,000,572,955",Before
29-Apr-21,"54,858.09","55,115.84","52,418.03","53,555.11","53,555.11","46,088,929,780",Before
30-Apr-21,"53,568.66","57,900.72","53,129.60","57,750.18","57,750.18","52,395,931,985",Before
1-May-21,"57,714.66","58,448.34","57,052.27","57,828.05","57,828.05","42,836,427,360",Before
2-May-21,"57,825.86","57,902.59","56,141.91","56,631.08","56,631.08","38,177,405,335",Before
3-May-21,"56,620.27","58,973.31","56,590.87","57,200.29","57,200.29","51,713,139,031",Before
4-May-21,"57,214.18","57,214.18","53,191.43","53,333.54","53,333.54","68,564,706,967",Before
5-May-21,"53,252.16","57,911.36","52,969.05","57,424.01","57,424.01","69,241,316,747",Before
6-May-21,"57,441.31","58,363.32","55,382.51","56,396.52","56,396.52","69,523,285,106",Before
7-May-21,"56,413.95","58,606.63","55,321.85","57,356.40","57,356.40","68,434,023,376",Before
8-May-21,"57,352.77","59,464.61","56,975.21","58,803.78","58,803.78","65,382,980,634",Before
9-May-21,"58,877.39","59,210.88","56,482.00","58,232.32","58,232.32","65,906,690,347",Before
10-May-21,"58,250.87","59,519.36","54,071.46","55,859.80","55,859.80","71,776,546,298",Before
11-May-21,"55,847.24","56,872.54","54,608.65","56,704.57","56,704.57","61,308,396,325",Before
12-May-21,"56,714.53","57,939.36","49,150.54","49,150.54","49,150.54","75,215,403,907",Before
13-May-21,"49,735.43","51,330.84","46,980.02","49,716.19","49,716.19","96,721,152,926",Before
14-May-21,"49,682.98","51,438.12","48,868.58","49,880.54","49,880.54","55,737,497,453",Before
15-May-21,"49,855.50","50,639.66","46,664.14","46,760.19","46,760.19","59,161,047,474",Before
16-May-21,"46,716.64","49,720.04","43,963.35","46,456.06","46,456.06","64,047,871,555",Before
17-May-21,"46,415.90","46,623.56","42,207.29","43,537.51","43,537.51","74,903,638,450",Before
18-May-21,"43,488.06","45,812.46","42,367.83","42,909.40","42,909.40","56,187,365,084",Before
19-May-21,"42,944.98","43,546.12","30,681.50","37,002.44","37,002.44","126,358,098,747",Before
20-May-21,"36,753.67","42,462.98","35,050.62","40,782.74","40,782.74","88,281,943,359",Before
21-May-21,"40,596.95","42,172.17","33,616.45","37,304.69","37,304.69","82,051,616,861",Before
22-May-21,"37,371.03","38,831.05","35,383.68","37,536.63","37,536.63","57,377,273,240",Before
23-May-21,"37,531.45","38,289.22","31,227.34","34,770.58","34,770.58","78,469,274,361",Before
24-May-21,"34,700.36","39,835.14","34,551.08","38,705.98","38,705.98","67,359,584,098",Before
25-May-21,"38,795.78","39,776.35","36,581.43","38,402.22","38,402.22","56,211,915,803",Before
26-May-21,"38,392.63","40,782.08","37,905.84","39,294.20","39,294.20","51,346,735,160",Before
27-May-21,"39,316.89","40,379.62","37,247.90","38,436.97","38,436.97","43,210,968,721",Before
28-May-21,"38,507.08","38,856.97","34,779.04","35,697.61","35,697.61","55,200,191,952",Before
29-May-21,"35,684.16","37,234.50","33,693.93","34,616.07","34,616.07","45,231,013,335",Before
30-May-21,"34,607.41","36,400.67","33,520.74","35,678.13","35,678.13","31,646,080,921",Before
31-May-21,"35,658.59","37,468.25","34,241.95","37,332.86","37,332.86","39,009,847,639",Before
1-Jun-21,"37,293.79","37,896.73","35,787.09","36,684.93","36,684.93","34,639,423,297",Before
2-Jun-21,"36,699.92","38,231.34","35,966.31","37,575.18","37,575.18","33,070,867,190",Before
3-Jun-21,"37,599.41","39,478.95","37,243.97","39,208.77","39,208.77","35,460,750,427",Before
4-Jun-21,"39,242.48","39,242.48","35,717.72","36,894.41","36,894.41","41,831,090,187",Before
5-Jun-21,"36,880.16","37,917.71","34,900.41","35,551.96","35,551.96","35,959,473,399",Before
6-Jun-21,"35,538.61","36,436.42","35,304.58","35,862.38","35,862.38","28,913,440,585",Before
7-Jun-21,"35,835.27","36,790.57","33,480.64","33,560.71","33,560.71","33,683,936,663",Before
8-Jun-21,"33,589.52","34,017.39","31,114.44","33,472.63","33,472.63","49,902,050,442",Before
9-Jun-21,"33,416.98","37,537.37","32,475.87","37,345.12","37,345.12","53,972,919,008",Before
10-Jun-21,"37,389.52","38,334.32","35,847.59","36,702.60","36,702.60","43,576,032,854",Before
11-Jun-21,"36,697.03","37,608.70","36,044.45","37,334.40","37,334.40","38,699,736,985",Before
12-Jun-21,"37,340.14","37,408.93","34,728.19","35,552.52","35,552.52","37,924,228,550",Before
13-Jun-21,"35,555.79","39,322.78","34,864.11","39,097.86","39,097.86","40,669,112,838",Before
14-Jun-21,"39,016.97","40,978.36","38,757.29","40,218.48","40,218.48","43,148,914,673",Before
15-Jun-21,"40,427.17","41,295.27","39,609.47","40,406.27","40,406.27","46,420,149,185",Before
16-Jun-21,"40,168.69","40,516.78","38,176.04","38,347.06","38,347.06","39,211,635,100",Before
17-Jun-21,"38,341.42","39,513.67","37,439.68","38,053.50","38,053.50","37,096,670,047",Before
18-Jun-21,"38,099.48","38,187.26","35,255.86","35,787.25","35,787.25","36,200,887,275",Before
19-Jun-21,"35,854.53","36,457.80","34,933.06","35,615.87","35,615.87","31,207,279,719",Before
20-Jun-21,"35,563.14","36,059.48","33,432.07","35,698.30","35,698.30","36,664,034,054",Before
21-Jun-21,"35,641.14","35,721.64","31,295.94","31,676.69","31,676.69","52,809,038,594",Before
22-Jun-21,"31,622.38","33,292.45","28,893.62","32,505.66","32,505.66","58,964,353,058",Before
23-Jun-21,"32,515.71","34,753.41","31,772.63","33,723.03","33,723.03","46,317,108,925",Before
24-Jun-21,"33,682.80","35,228.85","32,385.21","34,662.44","34,662.44","33,123,368,116",Before
25-Jun-21,"34,659.11","35,487.25","31,350.88","31,637.78","31,637.78","40,230,904,226",Before
26-Jun-21,"31,594.66","32,637.59","30,184.50","32,186.28","32,186.28","38,585,385,521",Before
27-Jun-21,"32,287.52","34,656.13","32,071.76","34,649.64","34,649.64","35,511,640,894",Before
28-Jun-21,"34,679.12","35,219.89","33,902.07","34,434.34","34,434.34","33,892,523,752",Before
29-Jun-21,"34,475.56","36,542.11","34,252.48","35,867.78","35,867.78","37,901,460,044",Before
30-Jun-21,"35,908.39","36,074.76","34,086.15","35,040.84","35,040.84","34,059,036,099",Before
1-Jul-21,"35,035.98","35,035.98","32,883.78","33,572.12","33,572.12","37,838,957,079",Before
2-Jul-21,"33,549.60","33,939.59","32,770.68","33,897.05","33,897.05","38,728,974,942",Before
