DATE,CORESTICKM159SFRBATL,Statues
2/1/2018,2.131896,Before
3/1/2018,2.369197,Before
4/1/2018,2.493423,Before
5/1/2018,2.544991,Before
6/1/2018,2.553219,Before
7/1/2018,2.519634,Before
8/1/2018,2.432878,Before
9/1/2018,2.461933,Before
10/1/2018,2.414988,Before
11/1/2018,2.476794,Before
12/1/2018,2.46437,Before
1/1/2019,2.385533,Before
2/1/2019,2.376648,Before
3/1/2019,2.399684,Before
4/1/2019,2.407927,Before
5/1/2019,2.39723,Before
6/1/2019,2.421751,Before
7/1/2019,2.460848,Before
8/1/2019,2.629246,Before
9/1/2019,2.606767,Before
10/1/2019,2.733341,Before
11/1/2019,2.768217,Before
12/1/2019,2.746361,Before
1/1/2020,2.797067,Before
2/1/2020,2.812936,Before
3/1/2020,2.647379,Before
4/1/2020,2.226352,Before
5/1/2020,2.084208,Before
6/1/2020,2.058146,Before
7/1/2020,2.348857,Before
8/1/2020,2.288978,Before
9/1/2020,2.077391,Before
10/1/2020,1.842159,Before
11/1/2020,1.798587,Before
12/1/2020,1.716599,Before
1/1/2021,1.517012,Before
2/1/2021,1.527009,Before
3/1/2021,1.706984,Before
4/1/2021,2.262331,Before
5/1/2021,2.623164,Before
6/1/2021,2.588579,Before
7/1/2021,2.315464,Before
8/1/2021,2.343064,Before
9/1/2021,2.638383,Before
10/1/2021,3.035619,Before
11/1/2021,3.21432,Before
12/1/2021,3.484143,Before
1/1/2022,3.988659,Before
2/1/2022,4.30707,After
3/1/2022,4.558423,After
4/1/2022,4.721803,After
5/1/2022,4.985582,After
6/1/2022,5.422337,After
7/1/2022,5.625329,After
8/1/2022,5.991705,After
9/1/2022,6.392795,After
10/1/2022,6.364809,After
11/1/2022,6.471178,After
12/1/2022,6.617223,After
1/1/2023,6.554492474,After
2/1/2023,6.59375,After
