Date,Open,High,Low,Close*,Adj Close**,Volume,Statues
26-Mar-21,58.48,61.36,58.32,60.97,60.97,"471,996",Before
29-Mar-21,60.93,61.77,59.41,61.56,61.56,"449,360",Before
30-Mar-21,61.96,62.27,59.94,60.55,60.55,"388,188",Before
31-Mar-21,60.45,61.17,58.85,59.16,59.16,"414,162",Before
1-Apr-21,59.49,61.75,58.86,61.45,61.45,"605,567",Before
5-Apr-21,61.5,61.5,57.63,58.65,58.65,"438,864",Before
6-Apr-21,58.8,60.9,58.62,59.33,59.33,"457,348",Before
7-Apr-21,59.26,60.04,58.12,59.77,59.77,"475,537",Before
8-Apr-21,59.52,59.93,58.82,59.6,59.6,"419,913",Before
9-Apr-21,59.76,59.95,59.1,59.32,59.32,"351,436",Before
12-Apr-21,59.35,60.77,58.73,59.7,59.7,"410,218",Before
13-Apr-21,59.64,60.59,59.64,60.18,60.18,"349,733",Before
14-Apr-21,60.44,63.44,60.38,63.15,63.15,"419,813",Before
15-Apr-21,62.83,63.57,62.53,63.46,63.46,"243,370",Before
16-Apr-21,63.32,63.88,62.83,63.13,63.13,"87,795",Before
19-Apr-21,62.98,63.63,62.63,63.38,63.38,"74,384",Before
20-Apr-21,63.47,64.25,61.5,62.44,62.44,"476,046",Before
21-Apr-21,62.39,62.56,60.86,61.35,61.35,"431,486",Before
22-Apr-21,61.11,61.87,60.61,61.43,61.43,"344,700",Before
23-Apr-21,61.65,62.43,61.25,62.14,62.14,"345,407",Before
26-Apr-21,62.06,62.31,60.66,61.91,61.91,"366,865",Before
27-Apr-21,61.97,63.3,61.91,62.94,62.94,"361,536",Before
28-Apr-21,63.04,64.53,62.67,63.86,63.86,"387,683",Before
29-Apr-21,63.7,65.47,63.65,65.01,65.01,"384,489",Before
30-Apr-21,64.88,64.95,63.08,63.58,63.58,"400,515",Before
3-May-21,63.64,64.68,62.91,64.49,64.49,"285,969",Before
4-May-21,64.53,66.19,64.29,65.69,65.69,"370,208",Before
5-May-21,66.45,66.76,64.92,65.63,65.63,"460,066",Before
6-May-21,65.27,65.98,64.5,64.71,64.71,"389,214",Before
7-May-21,64.9,65.24,63.9,64.9,64.9,"431,417",Before
10-May-21,65.57,65.75,63.95,64.92,64.92,"448,337",Before
11-May-21,64.9,65.5,63.68,65.28,65.28,"514,949",Before
12-May-21,65.46,66.63,64.97,66.08,66.08,"508,519",Before
13-May-21,65.75,65.81,63.09,63.82,63.82,"547,691",Before
14-May-21,63.83,65.62,63.33,65.37,65.37,"383,749",Before
17-May-21,65.5,66.43,64.83,66.27,66.27,"268,476",Before
18-May-21,66.33,67.01,64.11,65.49,65.49,"167,348",Before
19-May-21,65.28,65.35,61.95,63.36,63.36,"101,902",Before
20-May-21,63.39,63.96,61.89,62.05,62.05,"524,168",Before
21-May-21,61.89,64.07,61.56,63.58,63.58,"530,831",Before
24-May-21,63.87,66.14,63.63,66.05,66.05,"466,647",Before
25-May-21,66.02,66.51,65.41,66.07,66.07,"497,394",Before
26-May-21,66.04,66.43,65.25,66.21,66.21,"376,207",Before
27-May-21,66.16,66.92,65.47,66.85,66.85,"337,542",Before
28-May-21,66.95,67.52,66.17,66.32,66.32,"390,461",Before
1-Jun-21,66.68,68.87,66.41,67.72,67.72,"570,985",Before
2-Jun-21,67.99,69,67.78,68.83,68.83,"332,995",Before
3-Jun-21,68.76,69.4,68.19,68.81,68.81,"351,367",Before
4-Jun-21,68.91,69.76,68.33,69.62,69.62,"326,250",Before
7-Jun-21,69.52,70,68.93,69.23,69.23,"365,621",Before
8-Jun-21,69.29,70.27,68.47,70.05,70.05,"441,302",Before
9-Jun-21,70.01,70.62,69.46,69.96,69.96,"410,820",Before
10-Jun-21,69.76,70.65,68.68,70.29,70.29,"492,464",Before
11-Jun-21,70.1,71.24,69.68,70.91,70.91,"563,575",Before
14-Jun-21,70.65,71.78,70.65,70.88,70.88,"319,639",Before
15-Jun-21,71.16,72.49,70.81,72.12,72.12,"336,035",Before
16-Jun-21,72.45,72.99,71.61,72.15,72.15,"426,775",Before
17-Jun-21,71.65,72.3,69.77,71.04,71.04,"373,780",Before
18-Jun-21,71.1,72.17,70.16,71.64,71.64,"139,584",Before
21-Jun-21,71.52,73.96,71.15,73.66,73.66,"123,662",Before
22-Jun-21,73.41,73.95,72.94,73.06,73.06,"498,555",Before
23-Jun-21,72.91,74.25,72.82,73.08,73.08,"429,207",Before
24-Jun-21,73.28,73.61,72.32,73.3,73.3,"334,833",Before
25-Jun-21,73.32,74.18,72.85,74.05,74.05,"364,721",Before
28-Jun-21,73.99,74.45,72.62,72.91,72.91,"354,701",Before
29-Jun-21,72.78,73.81,71.97,72.98,72.98,"321,448",Before
30-Jun-21,73.47,74.14,72.82,73.47,73.47,"383,626",Before
1-Jul-21,73.5,76.22,73.39,75.23,75.23,"615,678",Before
2-Jul-21,75.02,75.62,74.41,75.16,75.16,"377,531",Before
6-Jul-21,75.35,76.98,72.94,73.37,73.37,"714,044",Before
