Date,Open,High,Low,Close*,Adj Close**,Volume,Statues
21-Mar-21,60.8,61.36,57.44,60.97,60.97,"1,052,101",Before
29-Mar-21,60.93,62.27,58.85,61.45,61.45,"2,462,844",Before
5-Apr-21,61.5,61.5,57.63,59.32,59.32,"2,143,098",Before
12-Apr-21,59.35,63.88,58.73,63.13,63.13,"1,510,929",Before
19-Apr-21,62.98,64.25,60.61,62.14,62.14,"1,672,023",Before
26-Apr-21,62.06,65.47,60.66,63.58,63.58,"1,901,088",Before
3-May-21,63.64,66.76,62.91,64.9,64.9,"1,936,874",Before
10-May-21,65.57,66.63,63.09,65.37,65.37,"2,403,245",Before
17-May-21,65.5,67.01,61.56,63.58,63.58,"1,592,725",Before
24-May-21,63.87,67.52,63.63,66.32,66.32,"2,068,251",Before
31-May-21,66.68,69.76,66.41,69.62,69.62,"1,581,597",Before
7-Jun-21,69.52,71.24,68.47,70.91,70.91,"2,273,782",Before
14-Jun-21,70.65,72.99,69.77,71.64,71.64,"1,595,813",Before
21-Jun-21,71.52,74.25,71.15,74.05,74.05,"1,750,978",Before
28-Jun-21,73.99,76.22,71.97,75.16,75.16,"2,052,984",Before
5-Jul-21,75.35,76.98,70.76,74.56,74.56,"2,273,859",Before
12-Jul-21,74.74,75.52,70.41,71.81,71.81,"1,872,974",Before
19-Jul-21,71.49,72.21,65.21,72.07,72.07,"1,857,183",Before
26-Jul-21,72.18,74.23,70.56,73.95,73.95,"1,645,939",Before
2-Aug-21,73.91,73.95,67.61,68.28,68.28,"2,494,529",Before
9-Aug-21,67.88,69.62,65.15,68.44,68.44,"2,188,297",Before
16-Aug-21,68.13,68.14,62.11,62.32,62.32,"1,144,590",Before
23-Aug-21,61.96,69.05,61.74,68.74,68.74,"1,757,262",Before
30-Aug-21,69.3,70.61,67.12,69.29,69.29,"1,802,547",Before
6-Sep-21,69.11,69.96,67.56,69.72,69.72,"1,838,559",Before
13-Sep-21,69.74,73.14,69.51,71.97,71.97,"1,642,180",Before
20-Sep-21,71.92,74.27,69.67,73.98,73.98,"1,604,088",Before
27-Sep-21,74.19,76.67,73.14,75.88,75.88,"2,290,350",Before
4-Oct-21,75.9,80.11,74.96,79.35,79.35,"2,573,696",Before
11-Oct-21,79.59,82.66,79.42,82.28,82.28,"2,416,923",Before
18-Oct-21,82.6,84.25,80.79,83.76,83.76,"1,780,256",Before
25-Oct-21,83.98,85.41,80.58,83.57,83.57,"2,565,287",Before
1-Nov-21,83.36,84.88,78.25,81.27,81.27,"2,620,667",Before
8-Nov-21,81.13,84.97,79.78,80.79,80.79,"2,319,740",Before
15-Nov-21,80.66,81.81,75.37,76.1,76.1,"1,551,055",Before
22-Nov-21,75.75,79.23,67.4,68.15,68.15,"2,475,081",Before
29-Nov-21,69.23,72.93,62.43,66.26,66.26,"3,118,279",Before
6-Dec-21,67.02,73.34,66.72,71.67,71.67,"2,153,522",Before
13-Dec-21,72.04,73,69.39,70.86,70.86,"1,281,061",Before
20-Dec-21,70.07,73.95,66.04,73.79,73.79,"1,427,928",Before
27-Dec-21,73.38,77.44,72.57,75.21,75.21,"1,270,056",Before
3-Jan-22,75.69,80.47,74.27,78.9,78.9,"1,979,473",Before
10-Jan-22,78.88,84.45,77.83,83.82,83.82,"2,021,601",Before
17-Jan-22,84.32,87.91,82.78,85.14,85.14,"1,682,543",Before
24-Jan-22,84.91,88.84,81.9,86.82,86.82,"2,342,532",Before
31-Jan-22,87.45,93.17,86.34,92.31,92.31,"2,069,481",Before
7-Feb-22,91.82,94.66,88.41,93.1,93.1,"2,457,272",Before
14-Feb-22,93.91,95.82,89.03,91.07,91.07,"1,674,099",Before
21-Feb-22,91.75,100.54,90.06,91.59,91.59,"2,776,034",After
28-Feb-22,94.99,116.57,94.43,115.68,115.68,"2,927,369",After
7-Mar-22,121.33,130.5,103.63,109.33,109.33,"2,560,019",After
14-Mar-22,109.42,109.72,93.53,104.7,104.7,"1,324,831",After
21-Mar-22,105.13,116.64,104.08,113.9,113.9,"1,312,570",After
28-Mar-22,112.92,112.93,97.78,99.27,99.27,"1,819,617",After
4-Apr-22,98.95,105.59,93.81,98.26,98.26,"1,611,850",After
11-Apr-22,98.4,107.64,92.93,106.95,106.95,"1,202,364",After
18-Apr-22,107.03,109.81,100.7,102.07,102.07,"965,746",After
25-Apr-22,101.38,107.99,95.28,104.69,104.69,"1,565,234",After
2-May-22,104,111.37,100.28,109.77,109.77,"1,355,247",After
9-May-22,110.43,110.64,98.2,110.49,110.49,"1,705,170",After
16-May-22,110.98,115.56,105.13,113.23,113.23,"943,867",After
23-May-22,110.56,115.3,108.61,115.07,115.07,"1,083,820",After
30-May-22,114.96,120.46,111.2,118.87,118.87,"1,299,757",After
6-Jun-22,120.82,123.18,117.14,120.67,120.67,"1,575,311",After
13-Jun-22,120.19,123.68,108.25,109.56,109.56,"1,306,165",After
20-Jun-22,110.58,112.47,101.53,107.62,107.62,"1,631,088",After
27-Jun-22,107.22,114.05,104.56,108.43,108.43,"1,579,950",After
4-Jul-22,108.8,111.45,95.1,104.79,104.79,"1,745,643",After
11-Jul-22,104.79,105.05,90.56,97.59,97.59,"1,722,605",After
18-Jul-22,97.27,104.46,94.23,94.7,94.7,"1,089,917",After
25-Jul-22,95.1,101.88,93.01,98.62,98.62,"1,578,721",After
1-Aug-22,98.46,98.65,87.01,89.01,89.01,"1,773,877",After
8-Aug-22,88.46,95.05,87.22,92.09,92.09,"1,677,155",After
15-Aug-22,91.94,92.1,85.73,90.77,90.77,"949,898",After
22-Aug-22,89.65,95.76,86.6,93.06,93.06,"1,526,929",After
29-Aug-22,92.96,97.66,85.98,86.87,86.87,"1,596,521",After
5-Sep-22,86.84,90.39,81.2,86.79,86.79,"1,448,987",After
12-Sep-22,86.25,90.19,84.27,85.11,85.11,"1,281,670",After
19-Sep-22,85.21,86.68,78.04,78.74,78.74,"1,316,885",After
26-Sep-22,79.23,82.94,76.25,79.49,79.49,"1,428,499",After
3-Oct-22,81.02,93.31,80.87,92.64,92.64,"1,583,965",After
10-Oct-22,93.48,93.64,85.2,85.61,85.61,"1,489,995",After
17-Oct-22,85.59,88.17,82.09,85.05,85.05,"951,780",After
24-Oct-22,85.24,89.79,82.63,87.9,87.9,"1,334,309",After
31-Oct-22,88.39,92.87,85.3,92.61,92.61,"1,434,500",After
7-Nov-22,91,93.74,84.7,88.96,88.96,"1,696,614",After
14-Nov-22,89.02,89.84,77.24,80.08,80.08,"1,107,886",After
21-Nov-22,80.3,82.36,75.08,76.28,76.28,"1,390,315",After
28-Nov-22,75.93,83.34,73.6,79.98,79.98,"1,676,103",After
5-Dec-22,79.99,82.72,70.08,71.02,71.02,"1,950,672",After
12-Dec-22,71.79,77.77,70.25,74.29,74.29,"1,292,767",After
19-Dec-22,74.5,80.33,73.81,79.56,79.56,"1,015,617",After
26-Dec-22,79.9,81.18,76.79,80.26,80.26,"813,085",After
2-Jan-23,80.57,81.5,72.46,73.77,73.77,"1,249,813",After
9-Jan-23,73.47,80.11,73.47,79.86,79.86,"1,578,855",After
16-Jan-23,80.1,82.38,78.13,81.31,81.31,"1,047,371",After
23-Jan-23,81.79,82.64,79.04,79.68,79.68,"1,541,165",After
30-Jan-23,80.04,80.49,73.1,73.39,73.39,"1,754,188",After
6-Feb-23,73.23,80.33,72.25,79.72,79.72,"1,821,993",After
13-Feb-23,79.94,80.62,75.06,76.34,76.34,"1,076,590",After
20-Feb-23,76.53,77.51,73.8,76.32,76.32,"1,490,728",After
27-Feb-23,76.42,79.9,74.99,79.68,79.68,"1,542,837",After
6-Mar-23,79.92,80.94,74.77,76.68,76.68,"1,748,316",After
13-Mar-23,76.6,77.47,65.17,66.74,66.74,"1,924,820",After
20-Mar-23,66.62,71.67,64.12,69.26,69.26,"1,494,489",After
