Date,Open,High,Low,Close*,Adj Close**,Statues
26-Mar-21,1.1776,1.1804,1.1773,1.1777,1.1777,Before
29-Mar-21,1.1788,1.1794,1.1762,1.1788,1.1788,Before
30-Mar-21,1.1769,1.1776,1.1713,1.1771,1.1771,Before
31-Mar-21,1.1723,1.1759,1.1705,1.1724,1.1724,Before
1-Apr-21,1.1729,1.1776,1.1715,1.1729,1.1729,Before
2-Apr-21,1.1778,1.1787,1.1751,1.178,1.178,Before
5-Apr-21,1.1766,1.1816,1.1739,1.1768,1.1768,Before
6-Apr-21,1.1819,1.1855,1.1796,1.1819,1.1819,Before
7-Apr-21,1.1875,1.1915,1.1865,1.1874,1.1874,Before
8-Apr-21,1.1872,1.1915,1.1862,1.1874,1.1874,Before
9-Apr-21,1.1916,1.1923,1.1869,1.1916,1.1916,Before
12-Apr-21,1.1896,1.192,1.1873,1.1901,1.1901,Before
13-Apr-21,1.1912,1.1953,1.1884,1.1915,1.1915,Before
14-Apr-21,1.1957,1.1982,1.1952,1.1954,1.1954,Before
15-Apr-21,1.1982,1.1993,1.1958,1.1986,1.1986,Before
16-Apr-21,1.1971,1.1995,1.1951,1.1972,1.1972,Before
19-Apr-21,1.1968,1.2048,1.1943,1.1969,1.1969,Before
20-Apr-21,1.2044,1.2082,1.2029,1.2045,1.2045,Before
21-Apr-21,1.2033,1.2045,1.2,1.2032,1.2032,Before
22-Apr-21,1.2038,1.207,1.2004,1.2038,1.2038,Before
23-Apr-21,1.2018,1.2078,1.2014,1.2015,1.2015,Before
26-Apr-21,1.209,1.2118,1.2064,1.209,1.209,Before
27-Apr-21,1.2079,1.2092,1.2058,1.2082,1.2082,Before
28-Apr-21,1.2089,1.2102,1.2058,1.209,1.209,Before
29-Apr-21,1.2136,1.2152,1.2104,1.2136,1.2136,Before
30-Apr-21,1.2125,1.2129,1.2025,1.2127,1.2127,Before
3-May-21,1.2026,1.2078,1.2015,1.2028,1.2028,Before
4-May-21,1.206,1.2063,1.2,1.2061,1.2061,Before
5-May-21,1.2016,1.2029,1.1987,1.2015,1.2015,Before
6-May-21,1.2009,1.207,1.1994,1.2008,1.2008,Before
7-May-21,1.2066,1.2165,1.2053,1.2069,1.2069,Before
10-May-21,1.2168,1.2177,1.2137,1.2171,1.2171,Before
11-May-21,1.2142,1.218,1.2125,1.2141,1.2141,Before
12-May-21,1.2146,1.2151,1.2068,1.2145,1.2145,Before
13-May-21,1.2077,1.2107,1.2053,1.2079,1.2079,Before
14-May-21,1.208,1.2148,1.2071,1.2077,1.2077,Before
17-May-21,1.2148,1.217,1.2128,1.215,1.215,Before
18-May-21,1.2155,1.2232,1.2154,1.2157,1.2157,Before
19-May-21,1.2226,1.2248,1.2192,1.2224,1.2224,Before
20-May-21,1.2173,1.2229,1.2171,1.2173,1.2173,Before
21-May-21,1.2228,1.2242,1.2174,1.2225,1.2225,Before
24-May-21,1.2181,1.2229,1.2176,1.2183,1.2183,Before
25-May-21,1.2214,1.2267,1.2212,1.2215,1.2215,Before
26-May-21,1.2249,1.2265,1.22,1.2249,1.2249,Before
27-May-21,1.219,1.2217,1.2176,1.2193,1.2193,Before
28-May-21,1.2193,1.2201,1.2133,1.2193,1.2193,Before
31-May-21,1.219,1.2234,1.2184,1.219,1.219,Before
1-Jun-21,1.2234,1.2254,1.2215,1.2233,1.2233,Before
2-Jun-21,1.2218,1.2229,1.2166,1.2218,1.2218,Before
3-Jun-21,1.2212,1.2216,1.2121,1.221,1.221,Before
4-Jun-21,1.213,1.2188,1.2106,1.2133,1.2133,Before
7-Jun-21,1.2166,1.2202,1.2145,1.2168,1.2168,Before
8-Jun-21,1.219,1.2197,1.2167,1.2194,1.2194,Before
9-Jun-21,1.2172,1.2219,1.2172,1.2173,1.2173,Before
10-Jun-21,1.2177,1.2192,1.2145,1.2182,1.2182,Before
11-Jun-21,1.2173,1.2195,1.2095,1.2173,1.2173,Before
14-Jun-21,1.2111,1.2132,1.2095,1.211,1.211,Before
15-Jun-21,1.2124,1.2149,1.2103,1.2122,1.2122,Before
16-Jun-21,1.2125,1.2135,1.211,1.2127,1.2127,Before
17-Jun-21,1.1992,1.2008,1.1907,1.1996,1.1996,Before
18-Jun-21,1.1913,1.1927,1.1851,1.1913,1.1913,Before
21-Jun-21,1.1869,1.1921,1.1849,1.1874,1.1874,Before
22-Jun-21,1.1912,1.1918,1.1882,1.1913,1.1913,Before
23-Jun-21,1.1937,1.197,1.1916,1.1937,1.1937,Before
24-Jun-21,1.1932,1.1957,1.192,1.1933,1.1933,Before
25-Jun-21,1.1928,1.1974,1.1928,1.193,1.193,Before
28-Jun-21,1.1942,1.1946,1.1905,1.1942,1.1942,Before
29-Jun-21,1.193,1.193,1.188,1.1929,1.1929,Before
30-Jun-21,1.19,1.191,1.1846,1.1902,1.1902,Before
1-Jul-21,1.1855,1.1884,1.1838,1.1857,1.1857,Before
2-Jul-21,1.1847,1.1861,1.1819,1.1846,1.1846,Before
5-Jul-21,1.1856,1.1882,1.1852,1.1856,1.1856,Before
6-Jul-21,1.1861,1.1896,1.1815,1.1864,1.1864,Before
7-Jul-21,1.182,1.1841,1.1782,1.1825,1.1825,Before
8-Jul-21,1.1794,1.1866,1.1784,1.1793,1.1793,Before
9-Jul-21,1.1847,1.1875,1.1825,1.1848,1.1848,Before
12-Jul-21,1.1874,1.1882,1.1837,1.1873,1.1873,Before
13-Jul-21,1.1865,1.1878,1.1793,1.1865,1.1865,Before
14-Jul-21,1.1774,1.1828,1.1773,1.1775,1.1775,Before
15-Jul-21,1.1833,1.1851,1.1806,1.1833,1.1833,Before
16-Jul-21,1.1813,1.1823,1.1794,1.1812,1.1812,Before
19-Jul-21,1.1812,1.1823,1.1764,1.1814,1.1814,Before
20-Jul-21,1.1792,1.1804,1.1757,1.1794,1.1794,Before
21-Jul-21,1.1786,1.1803,1.1754,1.1784,1.1784,Before
22-Jul-21,1.1795,1.183,1.1767,1.1793,1.1793,Before
23-Jul-21,1.1774,1.1786,1.1756,1.1773,1.1773,Before
26-Jul-21,1.1773,1.1818,1.1765,1.1773,1.1773,Before
27-Jul-21,1.1806,1.1837,1.1772,1.1808,1.1808,Before
28-Jul-21,1.1822,1.183,1.1786,1.1823,1.1823,Before
29-Jul-21,1.1847,1.1892,1.1842,1.1846,1.1846,Before
30-Jul-21,1.1892,1.1911,1.1856,1.1893,1.1893,Before
2-Aug-21,1.1865,1.1899,1.186,1.1867,1.1867,Before
3-Aug-21,1.1875,1.1896,1.1856,1.1875,1.1875,Before
4-Aug-21,1.1869,1.1902,1.1834,1.1869,1.1869,Before
5-Aug-21,1.184,1.1859,1.183,1.1837,1.1837,Before
6-Aug-21,1.1833,1.1836,1.1756,1.1836,1.1836,Before
9-Aug-21,1.1751,1.1772,1.1742,1.175,1.175,Before
10-Aug-21,1.1739,1.1744,1.1711,1.1738,1.1738,Before
11-Aug-21,1.172,1.1747,1.1706,1.1723,1.1723,Before
12-Aug-21,1.1742,1.1751,1.1725,1.1742,1.1742,Before
13-Aug-21,1.1736,1.1803,1.1731,1.1736,1.1736,Before
16-Aug-21,1.1796,1.1804,1.1768,1.1795,1.1795,Before
17-Aug-21,1.178,1.1784,1.1711,1.178,1.178,Before
18-Aug-21,1.171,1.1731,1.1697,1.171,1.171,Before
19-Aug-21,1.1704,1.1707,1.1669,1.1703,1.1703,Before
20-Aug-21,1.1677,1.1691,1.1665,1.1677,1.1677,Before
23-Aug-21,1.17,1.1743,1.1696,1.1698,1.1698,Before
24-Aug-21,1.1747,1.1765,1.1728,1.1745,1.1745,Before
25-Aug-21,1.1755,1.1761,1.1729,1.1753,1.1753,Before
26-Aug-21,1.1773,1.1781,1.1748,1.1774,1.1774,Before
27-Aug-21,1.1753,1.1804,1.1736,1.1756,1.1756,Before
30-Aug-21,1.18,1.1812,1.1785,1.1799,1.1799,Before
31-Aug-21,1.1799,1.1846,1.1796,1.1797,1.1797,Before
1-Sep-21,1.1812,1.186,1.1795,1.181,1.181,Before
2-Sep-21,1.1842,1.1872,1.1835,1.1841,1.1841,Before
3-Sep-21,1.1874,1.1908,1.1868,1.1876,1.1876,Before
6-Sep-21,1.1886,1.1886,1.1857,1.1886,1.1886,Before
7-Sep-21,1.1874,1.1888,1.1838,1.1875,1.1875,Before
8-Sep-21,1.1846,1.1854,1.1803,1.1844,1.1844,Before
9-Sep-21,1.182,1.1841,1.1806,1.1819,1.1819,Before
10-Sep-21,1.1824,1.1853,1.1819,1.1826,1.1826,Before
13-Sep-21,1.1813,1.1818,1.1771,1.1812,1.1812,Before
14-Sep-21,1.1811,1.1847,1.1802,1.1812,1.1812,Before
15-Sep-21,1.1804,1.1833,1.1801,1.1805,1.1805,Before
16-Sep-21,1.1819,1.1823,1.1752,1.182,1.182,Before
17-Sep-21,1.1765,1.179,1.173,1.1767,1.1767,Before
20-Sep-21,1.1729,1.1737,1.1701,1.173,1.173,Before
21-Sep-21,1.1726,1.1749,1.1716,1.173,1.173,Before
22-Sep-21,1.1726,1.1745,1.1717,1.1723,1.1723,Before
23-Sep-21,1.1689,1.1751,1.1684,1.1688,1.1688,Before
24-Sep-21,1.1742,1.1748,1.1702,1.174,1.174,Before
27-Sep-21,1.1722,1.1728,1.1687,1.1723,1.1723,Before
28-Sep-21,1.1696,1.1706,1.167,1.1697,1.1697,Before
29-Sep-21,1.1687,1.1692,1.161,1.1686,1.1686,Before
30-Sep-21,1.1602,1.1612,1.157,1.1602,1.1602,Before
1-Oct-21,1.1574,1.1609,1.1564,1.1574,1.1574,Before
4-Oct-21,1.1607,1.164,1.1589,1.1607,1.1607,Before
5-Oct-21,1.1617,1.1623,1.1583,1.1618,1.1618,Before
6-Oct-21,1.1595,1.16,1.153,1.1596,1.1596,Before
7-Oct-21,1.1555,1.1571,1.1549,1.1555,1.1555,Before
8-Oct-21,1.1559,1.1584,1.1543,1.156,1.156,Before
11-Oct-21,1.1566,1.1587,1.1553,1.1566,1.1566,Before
12-Oct-21,1.1553,1.157,1.1534,1.1554,1.1554,Before
13-Oct-21,1.1531,1.1579,1.1531,1.1534,1.1534,Before
14-Oct-21,1.16,1.1625,1.1585,1.16,1.16,Before
15-Oct-21,1.1591,1.162,1.1589,1.1592,1.1592,Before
18-Oct-21,1.1596,1.1612,1.1573,1.1597,1.1597,Before
19-Oct-21,1.1615,1.167,1.1615,1.1614,1.1614,Before
20-Oct-21,1.1634,1.1654,1.1618,1.1632,1.1632,Before
21-Oct-21,1.1652,1.167,1.1633,1.1655,1.1655,Before
22-Oct-21,1.1626,1.1654,1.1622,1.1625,1.1625,Before
25-Oct-21,1.1641,1.1669,1.1593,1.164,1.164,Before
26-Oct-21,1.1612,1.1629,1.1586,1.1612,1.1612,Before
27-Oct-21,1.1598,1.1624,1.1585,1.1598,1.1598,Before
28-Oct-21,1.1599,1.1693,1.1583,1.16,1.16,Before
29-Oct-21,1.1684,1.1692,1.1547,1.1684,1.1684,Before
1-Nov-21,1.1559,1.1593,1.1547,1.1557,1.1557,Before
2-Nov-21,1.1602,1.1615,1.1579,1.16,1.16,Before
3-Nov-21,1.1581,1.1599,1.1564,1.1579,1.1579,Before
4-Nov-21,1.1616,1.1617,1.1529,1.1616,1.1616,Before
5-Nov-21,1.1557,1.1565,1.1514,1.1555,1.1555,Before
8-Nov-21,1.1568,1.1596,1.1552,1.1569,1.1569,Before
9-Nov-21,1.1589,1.1609,1.157,1.1592,1.1592,Before
10-Nov-21,1.1594,1.1598,1.1513,1.1596,1.1596,Before
11-Nov-21,1.1486,1.1492,1.1455,1.1486,1.1486,Before
12-Nov-21,1.1448,1.146,1.1434,1.1451,1.1451,Before
15-Nov-21,1.1442,1.1464,1.1417,1.1442,1.1442,Before
16-Nov-21,1.1367,1.1387,1.1331,1.1366,1.1366,Before
17-Nov-21,1.1316,1.1334,1.1271,1.1321,1.1321,Before
18-Nov-21,1.1318,1.136,1.1315,1.1321,1.1321,Before
19-Nov-21,1.137,1.137,1.1252,1.1368,1.1368,Before
22-Nov-21,1.1276,1.1291,1.1238,1.1276,1.1276,Before
23-Nov-21,1.1244,1.1273,1.1227,1.1242,1.1242,Before
24-Nov-21,1.1244,1.1255,1.1188,1.1245,1.1245,Before
25-Nov-21,1.1207,1.1231,1.1204,1.1203,1.1203,Before
26-Nov-21,1.1209,1.1322,1.1208,1.121,1.121,Before
29-Nov-21,1.1291,1.1298,1.1259,1.1293,1.1293,Before
30-Nov-21,1.1294,1.1382,1.1246,1.1293,1.1293,Before
1-Dec-21,1.133,1.1358,1.1304,1.133,1.133,Before
2-Dec-21,1.132,1.1348,1.1302,1.132,1.132,Before
3-Dec-21,1.1307,1.1332,1.1267,1.1306,1.1306,Before
6-Dec-21,1.1303,1.131,1.1269,1.1305,1.1305,Before
7-Dec-21,1.1285,1.1299,1.1231,1.1287,1.1287,Before
8-Dec-21,1.1273,1.1339,1.127,1.1277,1.1277,Before
9-Dec-21,1.1344,1.1346,1.1279,1.1346,1.1346,Before
10-Dec-21,1.1294,1.1323,1.1267,1.1293,1.1293,Before
13-Dec-21,1.1311,1.1316,1.1264,1.1312,1.1312,Before
14-Dec-21,1.1283,1.1328,1.1267,1.1285,1.1285,Before
15-Dec-21,1.1259,1.1278,1.1249,1.1261,1.1261,Before
16-Dec-21,1.1293,1.1364,1.1282,1.1291,1.1291,Before
17-Dec-21,1.1335,1.1349,1.1268,1.1334,1.1334,Before
20-Dec-21,1.1243,1.1305,1.1237,1.1244,1.1244,Before
21-Dec-21,1.1277,1.1303,1.1262,1.1278,1.1278,Before
22-Dec-21,1.1291,1.1342,1.1265,1.1288,1.1288,Before
23-Dec-21,1.133,1.1346,1.1292,1.1329,1.1329,Before
24-Dec-21,1.1325,1.1344,1.1308,1.1327,1.1327,Before
27-Dec-21,1.1324,1.1335,1.1304,1.1324,1.1324,Before
28-Dec-21,1.133,1.1336,1.129,1.133,1.133,Before
29-Dec-21,1.1313,1.137,1.1275,1.1315,1.1315,Before
30-Dec-21,1.136,1.136,1.1301,1.136,1.136,Before
31-Dec-21,1.1323,1.1379,1.1305,1.1325,1.1325,Before
3-Jan-22,1.1374,1.1376,1.1285,1.1373,1.1373,Before
4-Jan-22,1.1302,1.1323,1.1273,1.1302,1.1302,Before
5-Jan-22,1.1285,1.1346,1.1278,1.1284,1.1284,Before
6-Jan-22,1.1312,1.1331,1.1286,1.1313,1.1313,Before
7-Jan-22,1.1296,1.136,1.1291,1.1297,1.1297,Before
10-Jan-22,1.1353,1.136,1.1288,1.1354,1.1354,Before
11-Jan-22,1.1333,1.1369,1.1316,1.133,1.133,Before
12-Jan-22,1.137,1.1433,1.1356,1.1366,1.1366,Before
13-Jan-22,1.144,1.1479,1.1436,1.1442,1.1442,Before
14-Jan-22,1.1457,1.1484,1.141,1.1457,1.1457,Before
17-Jan-22,1.1412,1.1435,1.1393,1.1411,1.1411,Before
18-Jan-22,1.1413,1.1423,1.133,1.1411,1.1411,Before
19-Jan-22,1.133,1.1357,1.132,1.133,1.133,Before
20-Jan-22,1.1344,1.1369,1.133,1.1343,1.1343,Before
21-Jan-22,1.1315,1.1361,1.1302,1.1314,1.1314,Before
24-Jan-22,1.1341,1.1341,1.1291,1.1341,1.1341,Before
25-Jan-22,1.1324,1.1325,1.1267,1.1324,1.1324,Before
26-Jan-22,1.1304,1.1313,1.1272,1.1305,1.1305,Before
27-Jan-22,1.1242,1.1245,1.1134,1.1244,1.1244,Before
