Date,Open,High,Low,Close*,Adj Close**,Volume,Statues
26-Mar-21,"1,721.30","1,732.20","1,721.30","1,732.20","1,732.20",33,Before
29-Mar-21,"1,712.10","1,712.10","1,712.10","1,712.10","1,712.10","135,457",Before
30-Mar-21,"1,711.00","1,712.60","1,676.50","1,683.90","1,683.90","25,316",Before
31-Mar-21,"1,683.70","1,713.80","1,676.50","1,713.80","1,713.80",762,Before
1-Apr-21,"1,706.80","1,728.80","1,706.40","1,726.50","1,726.50",720,Before
5-Apr-21,"1,727.90","1,729.70","1,721.90","1,727.00","1,727.00",275,Before
6-Apr-21,"1,726.90","1,744.80","1,726.90","1,741.50","1,741.50",890,Before
7-Apr-21,"1,742.70","1,742.70","1,733.70","1,740.10","1,740.10",557,Before
8-Apr-21,"1,736.00","1,758.00","1,734.60","1,756.80","1,756.80","1,298",Before
9-Apr-21,"1,750.80","1,750.80","1,733.30","1,743.30","1,743.30",484,Before
12-Apr-21,"1,740.80","1,740.80","1,726.70","1,731.20","1,731.20",40,Before
13-Apr-21,"1,733.80","1,746.90","1,722.10","1,746.20","1,746.20",367,Before
14-Apr-21,"1,741.30","1,745.90","1,732.70","1,734.90","1,734.90","1,037",Before
15-Apr-21,"1,740.10","1,767.90","1,740.10","1,765.40","1,765.40",368,Before
16-Apr-21,"1,770.40","1,779.50","1,770.10","1,779.00","1,779.00",625,Before
19-Apr-21,"1,782.10","1,788.50","1,769.40","1,769.40","1,769.40",144,Before
20-Apr-21,"1,769.30","1,777.30","1,765.50","1,777.30","1,777.30","1,464",Before
21-Apr-21,"1,783.00","1,794.10","1,777.70","1,792.30","1,792.30",250,Before
22-Apr-21,"1,794.20","1,794.20","1,779.50","1,781.20","1,781.20",159,Before
23-Apr-21,"1,786.10","1,794.50","1,772.00","1,777.00","1,777.00",332,Before
26-Apr-21,"1,778.00","1,779.70","1,770.80","1,779.20","1,779.20",549,Before
27-Apr-21,"1,780.00","1,782.00","1,777.70","1,778.00","1,778.00",117,Before
28-Apr-21,"1,768.20","1,774.00","1,764.60","1,773.20","1,773.20",756,Before
29-Apr-21,"1,781.00","1,789.00","1,758.60","1,768.10","1,768.10",196,Before
30-Apr-21,"1,771.80","1,771.80","1,763.90","1,767.30","1,767.30",18,Before
3-May-21,"1,788.50","1,793.00","1,788.50","1,791.40","1,791.40",18,Before
4-May-21,"1,788.20","1,788.50","1,774.80","1,775.80","1,775.80",182,Before
5-May-21,"1,781.50","1,784.10","1,779.20","1,784.10","1,784.10",57,Before
6-May-21,"1,788.90","1,815.50","1,787.60","1,815.50","1,815.50",13,Before
7-May-21,"1,842.90","1,842.90","1,831.10","1,831.10","1,831.10",2,Before
10-May-21,"1,835.60","1,845.60","1,835.40","1,837.50","1,837.50",13,Before
11-May-21,"1,837.20","1,838.10","1,831.60","1,835.90","1,835.90",420,Before
12-May-21,"1,825.20","1,825.20","1,821.70","1,822.60","1,822.60",3,Before
13-May-21,"1,814.70","1,826.80","1,814.10","1,823.80","1,823.80",100,Before
14-May-21,"1,824.50","1,842.90","1,824.50","1,837.90","1,837.90",41,Before
17-May-21,"1,849.90","1,867.50","1,847.20","1,867.50","1,867.50",13,Before
18-May-21,"1,870.50","1,870.50","1,867.80","1,867.80","1,867.80",3,Before
19-May-21,"1,866.40","1,884.90","1,863.60","1,881.30","1,881.30",348,Before
20-May-21,"1,865.50","1,885.00","1,864.80","1,881.80","1,881.80",85,Before
21-May-21,"1,872.10","1,876.70","1,872.10","1,876.70","1,876.70",5,Before
24-May-21,"1,882.10","1,884.60","1,882.10","1,884.60","1,884.60",39,Before
25-May-21,"1,882.50","1,898.10","1,882.50","1,898.10","1,898.10",56,Before
26-May-21,"1,901.30","1,901.30","1,901.30","1,901.30","1,901.30","170,526",Before
27-May-21,"1,896.80","1,903.90","1,888.20","1,895.70","1,895.70","35,794",Before
28-May-21,"1,897.50","1,905.40","1,881.90","1,902.50","1,902.50","2,415",Before
1-Jun-21,"1,905.10","1,916.20","1,892.80","1,902.90","1,902.90",640,Before
2-Jun-21,"1,899.20","1,908.80","1,896.00","1,907.50","1,907.50","1,267",Before
3-Jun-21,"1,908.80","1,908.80","1,865.00","1,871.20","1,871.20","1,021",Before
4-Jun-21,"1,869.30","1,895.50","1,854.00","1,889.80","1,889.80",367,Before
7-Jun-21,"1,890.50","1,899.70","1,883.20","1,896.80","1,896.80",87,Before
8-Jun-21,"1,896.50","1,902.90","1,890.00","1,892.20","1,892.20",930,Before
9-Jun-21,"1,894.90","1,897.70","1,889.20","1,893.20","1,893.20",148,Before
10-Jun-21,"1,887.70","1,899.80","1,871.50","1,894.20","1,894.20",186,Before
11-Jun-21,"1,900.90","1,902.30","1,875.20","1,877.40","1,877.40",349,Before
14-Jun-21,"1,866.20","1,866.60","1,846.50","1,864.00","1,864.00",41,Before
15-Jun-21,"1,866.40","1,867.20","1,854.40","1,854.50","1,854.50",78,Before
16-Jun-21,"1,859.40","1,860.10","1,809.20","1,859.50","1,859.50",117,Before
17-Jun-21,"1,811.80","1,823.30","1,769.60","1,773.80","1,773.80","1,135",Before
18-Jun-21,"1,775.70","1,792.40","1,767.90","1,767.90","1,767.90",354,Before
21-Jun-21,"1,768.80","1,785.20","1,766.80","1,781.80","1,781.80",38,Before
22-Jun-21,"1,783.40","1,786.90","1,775.90","1,776.30","1,776.30",101,Before
23-Jun-21,"1,780.70","1,793.20","1,780.60","1,782.30","1,782.30",136,Before
24-Jun-21,"1,778.90","1,786.40","1,775.60","1,775.60","1,775.60",78,Before
25-Jun-21,"1,777.70","1,788.00","1,775.20","1,776.60","1,776.60",35,Before
28-Jun-21,"1,779.60","1,779.60","1,779.60","1,779.60","1,779.60",888,Before
29-Jun-21,"1,776.80","1,777.10","1,752.10","1,762.80","1,762.80",419,Before
30-Jun-21,"1,761.10","1,770.80","1,759.20","1,770.80","1,770.80",51,Before
1-Jul-21,"1,775.70","1,781.20","1,768.80","1,775.90","1,775.90",44,Before
2-Jul-21,"1,778.70","1,787.90","1,778.30","1,782.60","1,782.60",23,Before
6-Jul-21,"1,786.70","1,809.80","1,786.70","1,793.50","1,793.50",332,Before
7-Jul-21,"1,798.70","1,808.40","1,797.20","1,801.50","1,801.50",244,Before
8-Jul-21,"1,797.00","1,818.50","1,797.00","1,799.60","1,799.60",148,Before
9-Jul-21,"1,803.60","1,810.10","1,798.80","1,810.00","1,810.00",218,Before
12-Jul-21,"1,802.60","1,805.50","1,799.50","1,805.50","1,805.50",147,Before
13-Jul-21,"1,808.10","1,812.00","1,800.60","1,809.40","1,809.40",78,Before
14-Jul-21,"1,813.10","1,829.00","1,813.10","1,824.30","1,824.30",707,Before
15-Jul-21,"1,831.60","1,833.00","1,823.40","1,828.40","1,828.40",99,Before
16-Jul-21,"1,830.10","1,831.40","1,814.50","1,814.50","1,814.50",78,Before
19-Jul-21,"1,803.30","1,813.40","1,803.30","1,808.70","1,808.70",33,Before
20-Jul-21,"1,812.90","1,824.00","1,810.90","1,810.90","1,810.90",128,Before
21-Jul-21,"1,807.00","1,807.00","1,800.00","1,802.90","1,802.90",135,Before
22-Jul-21,"1,793.60","1,805.00","1,793.60","1,805.00","1,805.00",2,Before
23-Jul-21,"1,800.00","1,801.40","1,800.00","1,801.40","1,801.40",1,Before
26-Jul-21,"1,802.50","1,802.50","1,797.20","1,798.70","1,798.70",17,Before
27-Jul-21,"1,803.70","1,803.70","1,799.50","1,799.50","1,799.50",1,Before
28-Jul-21,"1,799.50","1,799.50","1,799.50","1,799.50","1,799.50","209,783",Before
29-Jul-21,"1,806.60","1,832.60","1,806.10","1,831.20","1,831.20","30,496",Before
30-Jul-21,"1,828.00","1,830.50","1,808.90","1,812.60","1,812.60","3,100",Before
2-Aug-21,"1,812.40","1,818.70","1,804.80","1,818.10","1,818.10","1,334",Before
3-Aug-21,"1,812.30","1,813.50","1,806.00","1,810.10","1,810.10","3,341",Before
4-Aug-21,"1,809.30","1,831.30","1,806.30","1,810.50","1,810.50","2,860",Before
5-Aug-21,"1,810.80","1,813.70","1,796.00","1,805.10","1,805.10",588,Before
6-Aug-21,"1,799.80","1,800.10","1,758.40","1,760.00","1,760.00",859,Before
9-Aug-21,"1,753.50","1,753.80","1,692.60","1,723.40","1,723.40","1,621",Before
10-Aug-21,"1,728.60","1,735.20","1,720.10","1,728.80","1,728.80","1,363",Before
11-Aug-21,"1,727.30","1,752.20","1,727.30","1,750.40","1,750.40",542,Before
12-Aug-21,"1,749.70","1,752.40","1,745.50","1,749.00","1,749.00",739,Before
13-Aug-21,"1,758.30","1,777.30","1,757.40","1,775.20","1,775.20",436,Before
16-Aug-21,"1,776.90","1,787.80","1,771.90","1,786.90","1,786.90",219,Before
17-Aug-21,"1,787.70","1,794.20","1,780.00","1,785.00","1,785.00",200,Before
18-Aug-21,"1,787.80","1,791.50","1,779.00","1,781.60","1,781.60",263,Before
19-Aug-21,"1,780.00","1,789.30","1,775.50","1,780.20","1,780.20",245,Before
20-Aug-21,"1,784.10","1,787.50","1,778.20","1,781.00","1,781.00",235,Before
23-Aug-21,"1,776.80","1,804.80","1,776.80","1,803.20","1,803.20",32,Before
24-Aug-21,"1,801.00","1,805.60","1,801.00","1,805.60","1,805.60",22,Before
25-Aug-21,"1,792.00","1,792.90","1,784.00","1,788.20","1,788.20",812,Before
26-Aug-21,"1,787.40","1,792.20","1,781.00","1,792.20","1,792.20",61,Before
27-Aug-21,"1,803.40","1,816.60","1,803.10","1,816.60","1,816.60","1,219",Before
30-Aug-21,"1,818.20","1,820.30","1,807.80","1,809.00","1,809.00",684,Before
31-Aug-21,"1,815.90","1,815.90","1,801.10","1,815.00","1,815.00",82,Before
1-Sep-21,"1,813.50","1,815.90","1,809.50","1,813.10","1,813.10",114,Before
2-Sep-21,"1,813.20","1,813.90","1,806.80","1,808.70","1,808.70",26,Before
3-Sep-21,"1,820.90","1,833.90","1,818.90","1,830.90","1,830.90",53,Before
7-Sep-21,"1,825.70","1,825.70","1,792.70","1,795.90","1,795.90",48,Before
8-Sep-21,"1,781.70","1,790.70","1,781.70","1,790.70","1,790.70",69,Before
9-Sep-21,"1,798.70","1,798.70","1,787.90","1,797.40","1,797.40",49,Before
10-Sep-21,"1,789.60","1,789.60","1,789.60","1,789.60","1,789.60",-,Before
13-Sep-21,"1,789.80","1,796.00","1,784.00","1,792.00","1,792.00",533,Before
14-Sep-21,"1,791.40","1,806.20","1,783.00","1,804.70","1,804.70",764,Before
15-Sep-21,"1,803.70","1,803.70","1,792.40","1,792.40","1,792.40",59,Before
16-Sep-21,"1,792.90","1,792.90","1,743.90","1,754.60","1,754.60","1,645",Before
17-Sep-21,"1,758.80","1,763.00","1,749.40","1,749.40","1,749.40",581,Before
20-Sep-21,"1,751.80","1,761.80","1,750.90","1,761.80","1,761.80",185,Before
21-Sep-21,"1,762.20","1,776.00","1,759.00","1,776.00","1,776.00",106,Before
22-Sep-21,"1,776.70","1,784.30","1,767.00","1,776.70","1,776.70",17,Before
23-Sep-21,"1,766.80","1,766.80","1,738.20","1,747.70","1,747.70",31,Before
24-Sep-21,"1,749.70","1,749.70","1,745.00","1,749.70","1,749.70",76,Before
27-Sep-21,"1,751.70","1,754.40","1,747.50","1,750.00","1,750.00",808,Before
28-Sep-21,"1,739.60","1,741.70","1,726.80","1,735.80","1,735.80","15,748",Before
29-Sep-21,"1,732.40","1,744.10","1,721.40","1,721.50","1,721.50","6,634",Before
30-Sep-21,"1,725.50","1,760.30","1,724.50","1,755.30","1,755.30",997,Before
1-Oct-21,"1,754.30","1,762.60","1,748.50","1,757.00","1,757.00","2,220",Before
4-Oct-21,"1,764.50","1,768.90","1,749.50","1,766.20","1,766.20",417,Before
5-Oct-21,"1,764.30","1,764.30","1,749.00","1,759.60","1,759.60",98,Before
6-Oct-21,"1,759.30","1,762.90","1,744.70","1,760.50","1,760.50",56,Before
7-Oct-21,"1,762.40","1,762.40","1,752.80","1,757.90","1,757.90",336,Before
8-Oct-21,"1,757.00","1,780.00","1,754.20","1,756.30","1,756.30",254,Before
11-Oct-21,"1,756.60","1,757.80","1,752.20","1,754.60","1,754.60",128,Before
12-Oct-21,"1,751.90","1,768.00","1,749.80","1,758.30","1,758.30",139,Before
13-Oct-21,"1,760.80","1,794.50","1,760.80","1,793.70","1,793.70",150,Before
14-Oct-21,"1,792.20","1,799.90","1,792.00","1,796.70","1,796.70",337,Before
15-Oct-21,"1,794.50","1,795.40","1,766.60","1,767.20","1,767.20",874,Before
18-Oct-21,"1,761.60","1,770.10","1,759.50","1,764.80","1,764.80",266,Before
19-Oct-21,"1,777.60","1,785.00","1,767.50","1,769.70","1,769.70",51,Before
20-Oct-21,"1,774.60","1,785.60","1,774.00","1,784.10","1,784.10",127,Before
21-Oct-21,"1,782.00","1,785.70","1,781.00","1,781.20","1,781.20",146,Before
22-Oct-21,"1,787.10","1,806.90","1,784.00","1,795.50","1,795.50",532,Before
