Date,Open,High,Low,Close*,Adj Close**,Volume,Statues
21-Mar-21,"1,732.70","1,733.20","1,721.30","1,732.20","1,732.20",48,Before
29-Mar-21,"1,712.10","1,728.80","1,676.50","1,726.50","1,726.50","162,975",Before
5-Apr-21,"1,727.90","1,758.00","1,721.90","1,743.30","1,743.30","3,504",Before
12-Apr-21,"1,740.80","1,779.50","1,722.10","1,779.00","1,779.00","2,437",Before
19-Apr-21,"1,782.10","1,794.50","1,765.50","1,777.00","1,777.00","2,349",Before
26-Apr-21,"1,778.00","1,789.00","1,758.60","1,767.30","1,767.30","1,636",Before
3-May-21,"1,788.50","1,842.90","1,774.80","1,831.10","1,831.10",272,Before
10-May-21,"1,835.60","1,845.60","1,814.10","1,837.90","1,837.90",577,Before
17-May-21,"1,849.90","1,885.00","1,847.20","1,876.70","1,876.70",454,Before
24-May-21,"1,882.10","1,905.40","1,881.90","1,902.50","1,902.50","208,830",Before
31-May-21,"1,905.10","1,916.20","1,854.00","1,889.80","1,889.80","3,295",Before
7-Jun-21,"1,890.50","1,902.90","1,871.50","1,877.40","1,877.40","1,700",Before
14-Jun-21,"1,866.20","1,867.20","1,767.90","1,767.90","1,767.90","1,725",Before
21-Jun-21,"1,768.80","1,793.20","1,766.80","1,776.60","1,776.60",388,Before
28-Jun-21,"1,779.60","1,787.90","1,752.10","1,782.60","1,782.60","1,425",Before
5-Jul-21,"1,786.70","1,818.50","1,786.70","1,810.00","1,810.00",942,Before
12-Jul-21,"1,802.60","1,833.00","1,799.50","1,814.50","1,814.50","1,109",Before
19-Jul-21,"1,803.30","1,824.00","1,793.60","1,801.40","1,801.40",299,Before
26-Jul-21,"1,802.50","1,832.60","1,797.20","1,812.60","1,812.60","243,397",Before
2-Aug-21,"1,812.40","1,831.30","1,758.40","1,760.00","1,760.00","8,982",Before
9-Aug-21,"1,753.50","1,777.30","1,692.60","1,775.20","1,775.20","4,701",Before
16-Aug-21,"1,776.90","1,794.20","1,771.90","1,781.00","1,781.00","1,162",Before
