Date,Open,High,Low,Close*,Adj Close**,Volume,Statues
26-Mar-21,"12,996.03","13,149.55","12,878.72","13,138.73","13,138.73","5,224,360,000",Before
29-Mar-21,"13,103.97","13,143.41","12,968.16","13,059.65","13,059.65","4,965,090,000",Before
30-Mar-21,"13,008.80","13,075.75","12,922.57","13,045.39","13,045.39","4,721,950,000",Before
31-Mar-21,"13,122.57","13,325.54","13,118.38","13,246.87","13,246.87","5,004,720,000",Before
1-Apr-21,"13,414.32","13,487.08","13,404.18","13,480.11","13,480.11","4,576,480,000",Before
5-Apr-21,"13,594.90","13,720.58","13,582.76","13,705.59","13,705.59","4,459,000,000",Before
6-Apr-21,"13,681.67","13,776.71","13,674.28","13,698.38","13,698.38","4,073,710,000",Before
7-Apr-21,"13,675.30","13,733.03","13,653.59","13,688.84","13,688.84","4,098,740,000",Before
8-Apr-21,"13,796.89","13,830.14","13,758.71","13,829.31","13,829.31","4,153,600,000",Before
9-Apr-21,"13,787.02","13,905.41","13,748.35","13,900.19","13,900.19","3,926,110,000",Before
12-Apr-21,"13,854.44","13,877.00","13,783.95","13,850.00","13,850.00","4,250,900,000",Before
13-Apr-21,"13,902.45","14,011.51","13,902.45","13,996.10","13,996.10","4,219,360,000",Before
14-Apr-21,"14,004.08","14,033.63","13,839.04","13,857.84","13,857.84","4,120,770,000",Before
15-Apr-21,"13,983.23","14,049.13","13,970.42","14,038.76","14,038.76","4,406,880,000",Before
16-Apr-21,"14,059.11","14,062.50","13,977.05","14,052.34","14,052.34","4,427,780,000",Before
19-Apr-21,"13,984.58","14,041.79","13,842.57","13,914.77","13,914.77","4,379,610,000",Before
20-Apr-21,"13,894.46","13,927.67","13,698.67","13,786.27","13,786.27","4,245,120,000",Before
21-Apr-21,"13,745.77","13,951.35","13,706.86","13,950.22","13,950.22","3,999,620,000",Before
22-Apr-21,"13,952.57","14,015.87","13,771.04","13,818.41","13,818.41","4,420,820,000",Before
23-Apr-21,"13,861.37","14,062.74","13,856.83","14,016.81","14,016.81","4,355,100,000",Before
26-Apr-21,"14,052.38","14,154.03","14,019.50","14,138.78","14,138.78","4,506,210,000",Before
27-Apr-21,"14,170.91","14,171.24","14,064.28","14,090.22","14,090.22","4,691,460,000",Before
28-Apr-21,"14,082.78","14,133.65","14,034.70","14,051.03","14,051.03","4,559,710,000",Before
29-Apr-21,"14,204.51","14,211.57","13,952.80","14,082.55","14,082.55","4,928,030,000",Before
30-Apr-21,"13,970.73","14,084.76","13,941.63","13,962.68","13,962.68","4,792,460,000",Before
3-May-21,"14,031.77","14,042.12","13,881.51","13,895.12","13,895.12","4,761,430,000",Before
4-May-21,"13,774.51","13,795.57","13,485.59","13,633.50","13,633.50","5,879,730,000",Before
5-May-21,"13,731.13","13,753.05","13,553.93","13,582.42","13,582.42","4,535,690,000",Before
6-May-21,"13,557.83","13,635.73","13,439.39","13,632.84","13,632.84","5,021,400,000",Before
7-May-21,"13,723.09","13,828.62","13,690.75","13,752.24","13,752.24","4,391,100,000",Before
10-May-21,"13,687.59","13,687.93","13,401.74","13,401.86","13,401.86","4,818,670,000",Before
11-May-21,"13,115.85","13,423.31","13,107.67","13,389.43","13,389.43","4,738,390,000",Before
12-May-21,"13,215.49","13,288.61","13,002.54","13,031.68","13,031.68","4,752,930,000",Before
13-May-21,"13,150.94","13,247.87","13,007.24","13,124.99","13,124.99","4,698,110,000",Before
14-May-21,"13,255.65","13,460.88","13,242.97","13,429.98","13,429.98","4,022,610,000",Before
17-May-21,"13,368.80","13,399.17","13,265.40","13,379.05","13,379.05","3,997,780,000",Before
18-May-21,"13,416.90","13,485.34","13,299.93","13,303.64","13,303.64","4,301,300,000",Before
19-May-21,"13,078.19","13,304.61","13,072.23","13,299.74","13,299.74","4,333,520,000",Before
20-May-21,"13,356.63","13,563.52","13,355.71","13,535.74","13,535.74","3,990,760,000",Before
21-May-21,"13,616.19","13,616.58","13,463.26","13,470.99","13,470.99","3,733,940,000",Before
24-May-21,"13,557.21","13,708.85","13,551.01","13,661.17","13,661.17","3,509,470,000",Before
25-May-21,"13,721.54","13,751.14","13,631.80","13,657.17","13,657.17","4,128,990,000",Before
26-May-21,"13,693.94","13,750.16","13,679.59","13,738.00","13,738.00","4,264,500,000",Before
27-May-21,"13,742.59","13,776.52","13,701.63","13,736.28","13,736.28","5,087,180,000",Before
28-May-21,"13,792.05","13,820.87","13,747.61","13,748.74","13,748.74","4,447,940,000",Before
1-Jun-21,"13,829.06","13,836.17","13,678.77","13,736.48","13,736.48","4,186,280,000",Before
2-Jun-21,"13,743.24","13,775.89","13,689.74","13,756.33","13,756.33","5,097,630,000",Before
3-Jun-21,"13,655.75","13,684.13","13,548.93","13,614.51","13,614.51","5,396,250,000",Before
4-Jun-21,"13,697.25","13,826.82","13,692.01","13,814.49","13,814.49","4,360,710,000",Before
7-Jun-21,"13,802.82","13,889.11","13,784.89","13,881.72","13,881.72","4,639,210,000",Before
8-Jun-21,"13,946.32","13,981.72","13,831.98","13,924.91","13,924.91","5,958,410,000",Before
9-Jun-21,"13,980.23","14,003.50","13,906.45","13,911.75","13,911.75","5,640,490,000",Before
10-Jun-21,"13,933.88","14,031.19","13,904.40","14,020.33","14,020.33","4,919,880,000",Before
11-Jun-21,"14,030.85","14,069.42","14,006.59","14,069.42","14,069.42","4,157,580,000",Before
14-Jun-21,"14,083.47","14,175.45","14,056.67","14,174.14","14,174.14","4,415,160,000",Before
15-Jun-21,"14,166.64","14,171.02","14,052.16","14,072.86","14,072.86","4,554,580,000",Before
16-Jun-21,"14,085.55","14,129.69","13,903.73","14,039.68","14,039.68","4,683,030,000",Before
17-Jun-21,"13,999.13","14,196.21","13,998.93","14,161.35","14,161.35","4,558,280,000",Before
18-Jun-21,"14,096.93","14,129.22","14,009.04","14,030.38","14,030.38","6,126,070,000",Before
21-Jun-21,"14,047.42","14,150.78","13,960.04","14,141.48","14,141.48","4,562,010,000",Before
22-Jun-21,"14,138.29","14,269.77","14,121.00","14,253.27","14,253.27","4,433,140,000",Before
23-Jun-21,"14,263.38","14,317.66","14,246.30","14,271.73","14,271.73","4,417,470,000",Before
24-Jun-21,"14,357.27","14,414.46","14,333.70","14,369.71","14,369.71","4,324,620,000",Before
25-Jun-21,"14,400.81","14,409.08","14,337.65","14,360.39","14,360.39","7,468,090,000",Before
28-Jun-21,"14,417.81","14,505.19","14,417.20","14,500.51","14,500.51","4,283,000,000",Before
29-Jun-21,"14,509.19","14,535.97","14,471.38","14,528.33","14,528.33","4,901,300,000",Before
30-Jun-21,"14,509.85","14,526.81","14,478.06","14,503.95","14,503.95","5,293,810,000",Before
1-Jul-21,"14,493.69","14,533.55","14,439.40","14,522.38","14,522.38","4,410,470,000",Before
2-Jul-21,"14,582.98","14,649.11","14,555.34","14,639.33","14,639.33","3,751,420,000",Before
6-Jul-21,"14,661.55","14,687.00","14,529.80","14,663.64","14,663.64","4,489,540,000",Before
7-Jul-21,"14,753.41","14,755.33","14,580.79","14,665.06","14,665.06","4,605,630,000",Before
8-Jul-21,"14,409.20","14,610.06","14,371.59","14,559.78","14,559.78","4,575,010,000",Before
9-Jul-21,"14,578.43","14,710.20","14,552.26","14,701.92","14,701.92","3,826,500,000",Before
12-Jul-21,"14,743.86","14,761.08","14,672.63","14,733.24","14,733.24","3,897,090,000",Before
13-Jul-21,"14,715.13","14,803.68","14,660.19","14,677.65","14,677.65","4,583,460,000",Before
14-Jul-21,"14,780.90","14,790.55","14,632.95","14,644.95","14,644.95","4,496,220,000",Before
15-Jul-21,"14,635.78","14,650.37","14,451.80","14,543.13","14,543.13","4,512,550,000",Before
16-Jul-21,"14,597.51","14,623.02","14,413.32","14,427.24","14,427.24","4,069,530,000",Before
19-Jul-21,"14,235.98","14,313.60","14,178.66","14,274.98","14,274.98","4,537,130,000",Before
20-Jul-21,"14,330.46","14,555.75","14,271.23","14,498.88","14,498.88","4,652,450,000",Before
21-Jul-21,"14,508.75","14,633.14","14,498.65","14,631.95","14,631.95","4,098,520,000",Before
22-Jul-21,"14,652.72","14,694.19","14,617.87","14,684.60","14,684.60","3,597,540,000",Before
23-Jul-21,"14,753.06","14,846.06","14,698.77","14,836.99","14,836.99","3,997,250,000",Before
26-Jul-21,"14,821.03","14,863.65","14,790.49","14,840.71","14,840.71","4,437,090,000",Before
27-Jul-21,"14,807.95","14,811.08","14,503.76","14,660.58","14,660.58","4,329,230,000",Before
28-Jul-21,"14,715.66","14,798.88","14,645.63","14,762.58","14,762.58","4,268,210,000",Before
29-Jul-21,"14,771.17","14,833.74","14,761.38","14,778.26","14,778.26","3,928,640,000",Before
30-Jul-21,"14,615.85","14,728.78","14,615.85","14,672.68","14,672.68","3,645,050,000",Before
2-Aug-21,"14,758.60","14,770.41","14,665.67","14,681.07","14,681.07","3,746,130,000",Before
3-Aug-21,"14,713.99","14,762.60","14,584.09","14,761.29","14,761.29","4,141,370,000",Before
4-Aug-21,"14,747.21","14,812.37","14,734.12","14,780.53","14,780.53","4,337,330,000",Before
5-Aug-21,"14,794.08","14,896.47","14,776.03","14,895.12","14,895.12","4,107,300,000",Before
6-Aug-21,"14,864.22","14,890.18","14,788.59","14,835.76","14,835.76","4,173,090,000",Before
9-Aug-21,"14,855.76","14,883.81","14,802.69","14,860.18","14,860.18","4,111,640,000",Before
10-Aug-21,"14,887.75","14,894.61","14,754.48","14,788.09","14,788.09","3,991,770,000",Before
11-Aug-21,"14,834.38","14,842.50","14,692.41","14,765.14","14,765.14","4,002,340,000",Before
12-Aug-21,"14,751.36","14,824.31","14,698.94","14,816.26","14,816.26","4,049,000,000",Before
13-Aug-21,"14,825.07","14,850.61","14,797.22","14,822.90","14,822.90","4,061,070,000",Before
16-Aug-21,"14,771.53","14,794.68","14,610.02","14,793.76","14,793.76","3,973,920,000",Before
17-Aug-21,"14,670.56","14,716.95","14,550.88","14,656.18","14,656.18","4,168,880,000",Before
18-Aug-21,"14,636.24","14,697.25","14,516.30","14,525.91","14,525.91","3,841,840,000",Before
19-Aug-21,"14,423.16","14,610.76","14,423.16","14,541.79","14,541.79","4,191,490,000",Before
20-Aug-21,"14,571.53","14,722.16","14,571.53","14,714.66","14,714.66","3,886,340,000",Before
23-Aug-21,"14,776.98","14,963.47","14,776.98","14,942.65","14,942.65","3,906,780,000",Before
24-Aug-21,"14,978.14","15,034.89","14,965.54","15,019.80","15,019.80","3,809,750,000",Before
25-Aug-21,"15,039.03","15,059.43","15,011.58","15,041.86","15,041.86","3,654,150,000",Before
26-Aug-21,"15,025.17","15,059.63","14,939.56","14,945.81","14,945.81","3,630,900,000",Before
27-Aug-21,"14,969.77","15,144.48","14,966.52","15,129.50","15,129.50","4,048,610,000",Before
30-Aug-21,"15,165.94","15,288.08","15,165.12","15,265.89","15,265.89","4,061,760,000",Before
31-Aug-21,"15,262.88","15,278.96","15,202.67","15,259.24","15,259.24","4,188,020,000",Before
1-Sep-21,"15,308.98","15,379.50","15,302.11","15,309.38","15,309.38","4,271,690,000",Before
2-Sep-21,"15,358.47","15,380.07","15,285.35","15,331.18","15,331.18","4,050,510,000",Before
3-Sep-21,"15,313.41","15,375.56","15,283.67","15,363.52","15,363.52","3,706,990,000",Before
7-Sep-21,"15,375.98","15,403.44","15,343.28","15,374.33","15,374.33","4,014,250,000",Before
8-Sep-21,"15,360.35","15,360.35","15,206.61","15,286.64","15,286.64","4,131,560,000",Before
9-Sep-21,"15,296.06","15,352.38","15,245.17","15,248.25","15,248.25","4,031,140,000",Before
10-Sep-21,"15,332.92","15,349.47","15,111.31","15,115.49","15,115.49","4,587,150,000",Before
13-Sep-21,"15,211.43","15,215.44","15,030.85","15,105.58","15,105.58","4,723,370,000",Before
14-Sep-21,"15,168.45","15,181.19","15,008.30","15,037.76","15,037.76","4,593,140,000",Before
15-Sep-21,"15,071.34","15,174.38","14,984.68","15,161.53","15,161.53","4,465,140,000",Before
16-Sep-21,"15,120.09","15,205.50","15,047.14","15,181.92","15,181.92","3,701,500,000",Before
17-Sep-21,"15,163.36","15,166.56","14,998.73","15,043.97","15,043.97","6,709,540,000",Before
20-Sep-21,"14,758.14","14,841.82","14,530.07","14,713.90","14,713.90","4,879,490,000",Before
21-Sep-21,"14,803.36","14,847.03","14,696.47","14,746.40","14,746.40","4,083,010,000",Before
22-Sep-21,"14,800.59","14,950.12","14,767.01","14,896.85","14,896.85","4,252,490,000",Before
23-Sep-21,"14,960.00","15,085.44","14,932.51","15,052.24","15,052.24","4,196,130,000",Before
24-Sep-21,"14,961.61","15,067.56","14,946.57","15,047.70","15,047.70","3,992,150,000",Before
27-Sep-21,"14,954.18","15,003.16","14,864.96","14,969.97","14,969.97","4,650,790,000",Before
28-Sep-21,"14,787.21","14,817.74","14,539.88","14,546.68","14,546.68","4,989,510,000",Before
29-Sep-21,"14,614.88","14,676.62","14,493.67","14,512.44","14,512.44","5,294,600,000",Before
30-Sep-21,"14,582.60","14,632.36","14,444.30","14,448.58","14,448.58","5,950,950,000",Before
1-Oct-21,"14,494.93","14,606.82","14,324.01","14,566.70","14,566.70","4,710,720,000",Before
4-Oct-21,"14,493.12","14,499.74","14,181.69","14,255.48","14,255.48","4,557,110,000",Before
5-Oct-21,"14,312.86","14,508.65","14,299.78","14,433.83","14,433.83","4,176,390,000",Before
6-Oct-21,"14,289.45","14,509.55","14,259.07","14,501.91","14,501.91","4,465,910,000",Before
7-Oct-21,"14,631.80","14,755.72","14,615.14","14,654.02","14,654.02","3,984,180,000",Before
8-Oct-21,"14,694.72","14,699.91","14,569.68","14,579.54","14,579.54","3,571,380,000",Before
11-Oct-21,"14,540.08","14,665.99","14,482.62","14,486.20","14,486.20","3,539,540,000",Before
12-Oct-21,"14,539.09","14,552.71","14,441.60","14,465.92","14,465.92","4,063,830,000",Before
13-Oct-21,"14,537.17","14,589.28","14,471.88","14,571.64","14,571.64","4,053,580,000",Before
14-Oct-21,"14,717.50","14,827.56","14,699.52","14,823.43","14,823.43","4,262,400,000",Before
15-Oct-21,"14,891.24","14,904.98","14,847.96","14,897.34","14,897.34","4,494,440,000",Before
18-Oct-21,"14,839.74","15,026.68","14,833.28","15,021.81","15,021.81","4,167,740,000",Before
19-Oct-21,"15,073.13","15,137.85","15,049.73","15,129.09","15,129.09","4,483,400,000",Before
20-Oct-21,"15,160.00","15,178.39","15,071.15","15,121.68","15,121.68","4,117,050,000",Before
21-Oct-21,"15,104.80","15,222.25","15,094.14","15,215.70","15,215.70","4,961,860,000",Before
22-Oct-21,"15,158.07","15,193.01","15,021.02","15,090.20","15,090.20","5,775,770,000",Before
25-Oct-21,"15,142.92","15,259.63","15,070.75","15,226.71","15,226.71","5,750,200,000",Before
26-Oct-21,"15,317.50","15,384.00","15,198.23","15,235.71","15,235.71","7,173,230,000",Before
27-Oct-21,"15,276.00","15,364.54","15,235.84","15,235.84","15,235.84","6,130,110,000",Before
28-Oct-21,"15,304.74","15,452.30","15,290.31","15,448.12","15,448.12","5,714,890,000",Before
29-Oct-21,"15,323.29","15,504.12","15,323.29","15,498.39","15,498.39","5,338,290,000",Before
1-Nov-21,"15,541.26","15,598.95","15,470.82","15,595.92","15,595.92","5,273,950,000",Before
2-Nov-21,"15,583.98","15,656.60","15,569.27","15,649.60","15,649.60","5,129,370,000",Before
3-Nov-21,"15,658.52","15,821.57","15,616.44","15,811.58","15,811.58","5,325,110,000",Before
4-Nov-21,"15,849.74","15,966.09","15,827.66","15,940.31","15,940.31","5,297,250,000",Before
5-Nov-21,"16,003.56","16,053.39","15,900.78","15,971.59","15,971.59","5,566,400,000",Before
8-Nov-21,"15,995.72","16,038.23","15,961.81","15,982.36","15,982.36","5,723,650,000",Before
9-Nov-21,"16,024.13","16,035.21","15,836.68","15,886.54","15,886.54","5,574,660,000",Before
10-Nov-21,"15,753.84","15,867.24","15,543.68","15,622.71","15,622.71","5,369,110,000",Before
11-Nov-21,"15,752.08","15,768.03","15,695.77","15,704.28","15,704.28","4,570,460,000",Before
12-Nov-21,"15,752.62","15,874.57","15,705.38","15,860.96","15,860.96","5,446,540,000",Before
15-Nov-21,"15,894.82","15,918.45","15,778.31","15,853.85","15,853.85","5,020,180,000",Before
16-Nov-21,"15,840.32","15,989.61","15,825.00","15,973.86","15,973.86","5,533,020,000",Before
17-Nov-21,"15,973.62","15,998.57","15,909.39","15,921.57","15,921.57","5,049,320,000",Before
18-Nov-21,"15,973.39","16,010.88","15,848.83","15,993.71","15,993.71","5,391,360,000",Before
19-Nov-21,"16,042.16","16,121.12","16,017.23","16,057.44","16,057.44","4,875,310,000",Before
22-Nov-21,"16,120.92","16,212.23","15,851.04","15,854.76","15,854.76","5,567,830,000",Before
23-Nov-21,"15,809.50","15,895.86","15,601.46","15,775.14","15,775.14","5,434,380,000",Before
24-Nov-21,"15,677.88","15,848.56","15,591.36","15,845.23","15,845.23","4,197,090,000",Before
26-Nov-21,"15,664.38","15,731.54","15,456.09","15,491.66","15,491.66","3,502,170,000",Before
29-Nov-21,"15,719.42","15,833.11","15,644.61","15,782.83","15,782.83","4,836,230,000",Before
30-Nov-21,"15,716.50","15,828.20","15,451.39","15,537.69","15,537.69","6,631,470,000",Before
1-Dec-21,"15,752.27","15,816.82","15,243.93","15,254.05","15,254.05","6,320,260,000",Before
2-Dec-21,"15,181.82","15,444.54","15,150.12","15,381.32","15,381.32","5,418,340,000",Before
