Date,Open,High,Low,Close*,Adj Close**,Statues
22-Mar-21,76.14,76.17,75.6,76.12,76.12,Before
29-Mar-21,75.66,76.47,75.22,76.26,76.26,Before
5-Apr-21,76.41,78.01,76,77.39,77.39,Before
12-Apr-21,77.39,77.73,75.32,76.08,76.08,Before
19-Apr-21,75.95,77.1,74.65,75.51,75.51,Before
26-Apr-21,74.89,75.41,74.18,74.73,74.73,Before
3-May-21,75.2,75.85,73.5,74.19,74.19,Before
10-May-21,73.66,74.65,73.53,74,74,Before
17-May-21,73.96,74.1,73.34,73.47,73.47,Before
24-May-21,73.62,73.83,73.07,73.44,73.44,Before
31-May-21,73.21,73.7,72.74,73.21,73.21,Before
7-Jun-21,72.98,73.04,71.54,71.74,71.74,Before
14-Jun-21,72.07,72.84,71.63,72.39,72.39,Before
21-Jun-21,72.75,73.32,72.01,72.3,72.3,Before
28-Jun-21,72.19,73.75,72.09,73.46,73.46,Before
5-Jul-21,73.2,75.34,73.15,74.71,74.71,Before
12-Jul-21,74.22,74.76,73.88,74.37,74.37,Before
19-Jul-21,74.06,74.76,73.48,73.66,73.66,Before
26-Jul-21,73.68,74.24,72.82,73.15,73.15,Before
2-Aug-21,73.1,73.59,72.66,73.12,73.12,Before
9-Aug-21,73.5,74.13,73.13,73.54,73.54,Before
16-Aug-21,73.21,74.57,73.19,74.28,74.28,Before
23-Aug-21,74.19,74.45,73.22,74.27,74.27,Before
30-Aug-21,73.39,73.67,72.56,73.01,73.01,Before
6-Sep-21,72.77,73.52,72.67,72.86,72.86,Before
13-Sep-21,73.1,73.18,72.23,72.47,72.47,Before
20-Sep-21,72.86,73.59,72.48,72.67,72.67,Before
27-Sep-21,72.67,73.24,72.38,72.72,72.72,Before
4-Oct-21,72.75,72.98,71.62,71.78,71.78,Before
11-Oct-21,71.75,72.09,70.87,71.37,71.37,Before
18-Oct-21,71.02,71.37,69.93,71.12,71.12,Before
25-Oct-21,70.35,70.98,69.21,70.14,70.14,Before
1-Nov-21,70.87,72.23,70.73,71.41,71.41,Before
8-Nov-21,71.13,73.18,70.51,71.56,71.56,Before
15-Nov-21,72.68,73.66,72.02,73.07,73.07,Before
22-Nov-21,73.44,75.88,73.16,74.53,74.53,Before
29-Nov-21,75.13,75.3,73.34,73.62,73.62,Before
6-Dec-21,73.89,74.52,73.25,73.62,73.62,Before
13-Dec-21,73.31,74.23,73.23,73.76,73.76,Before
20-Dec-21,74.33,74.45,73.12,73.3,73.3,Before
27-Dec-21,73.34,75.4,73.08,74.53,74.53,Before
3-Jan-22,75.19,77.29,74.16,76.35,76.35,Before
10-Jan-22,75.29,76.95,74.29,76.31,76.31,Before
17-Jan-22,76.31,77.73,75.6,76.09,76.09,Before
24-Jan-22,77.38,80.28,76.97,78.07,78.07,Before
31-Jan-22,77.88,77.96,75.65,76.41,76.41,Before
7-Feb-22,75.86,77.53,74.25,75.03,75.03,Before
14-Feb-22,77.35,77.99,74.83,76.13,76.13,Before
21-Feb-22,78.03,89.94,76.2,84.92,84.92,After
28-Feb-22,83.87,120,83.5,109.47,109.47,After
7-Mar-22,139.25,154.72,113.39,133.47,133.47,After
14-Mar-22,132.97,132.97,96.47,103.09,103.09,After
21-Mar-22,101.07,109.72,95.84,102.22,102.22,After
28-Mar-22,100.84,101.97,80.89,81.72,81.72,After
4-Apr-22,86.47,86.47,76.23,79.22,79.22,After
11-Apr-22,85.09,85.6,80.42,82.59,82.59,After
18-Apr-22,83.22,84.53,75.92,80.84,80.84,After
25-Apr-22,77.34,78.26,70.24,72.72,72.72,After
2-May-22,73.32,73.32,63,64.79,64.79,After
9-May-22,68.97,70.61,62,65.09,65.09,After
16-May-22,66.47,66.47,57.89,62.09,62.09,After
23-May-22,62.47,68.22,55.88,64.22,64.22,After
30-May-22,66.47,66.74,60.59,63.47,63.47,After
6-Jun-22,63.47,63.47,56.59,57.97,57.97,After
13-Jun-22,58.22,59.17,53,57.34,57.34,After
20-Jun-22,56.72,56.97,52.34,54.47,54.47,After
27-Jun-22,53.37,56.97,50.59,54.84,54.84,After
4-Jul-22,53.97,68.5,53.97,63.04,63.04,After
11-Jul-22,62.97,62.97,56.47,58.24,58.24,After
18-Jul-22,56.97,59.22,54.59,57.97,57.97,After
25-Jul-22,58.09,63.84,57.09,62.47,62.47,After
1-Aug-22,62.22,63.15,59.45,61.47,61.47,After
8-Aug-22,60.49,62.22,59.89,60.59,60.59,After
15-Aug-22,62.22,62.22,58.57,59.97,59.97,After
22-Aug-22,59.47,61.09,58.94,60.34,60.34,After
29-Aug-22,60.27,62.52,59.72,60.18,60.18,After
5-Sep-22,60.18,62.45,60.16,61.47,61.47,After
12-Sep-22,62.19,62.19,59.46,59.59,59.59,After
19-Sep-22,63.37,63.37,56.39,61.47,61.47,After
26-Sep-22,57.22,61.29,56.49,57.47,57.47,After
3-Oct-22,60.22,62.56,57.19,60.49,60.49,After
10-Oct-22,64.34,65.47,61.19,63.96,63.96,After
17-Oct-22,62.62,62.62,60.96,61.62,61.62,After
24-Oct-22,61.62,62.38,61.12,61.29,61.29,After
31-Oct-22,61.49,63.34,60.97,61.97,61.97,After
7-Nov-22,61.97,63.17,59.99,60.52,60.52,After
14-Nov-22,59.54,61.62,59.54,60.82,60.82,After
21-Nov-22,60.04,61.42,59.92,60.47,60.47,After
28-Nov-22,60.04,62.72,60.04,62.47,62.47,After
5-Dec-22,60.52,63.41,60.51,62.4,62.4,After
12-Dec-22,62.48,65.37,62.38,64.84,64.84,After
19-Dec-22,64.84,72.68,64.23,69.09,69.09,After
26-Dec-22,70.22,74.97,67.98,73.72,73.72,After
2-Jan-23,73.72,77.97,69.97,72.47,72.47,After
9-Jan-23,72.47,72.47,65.97,68.97,68.97,After
16-Jan-23,65.97,69.59,65.97,69.09,69.09,After
23-Jan-23,68.47,70.69,68.39,70.69,70.69,After
30-Jan-23,69.47,70.95,69.3,70.62,70.62,After
6-Feb-23,71.13,74.05,70.38,73.77,73.77,After
13-Feb-23,73.08,75.18,73.08,73.97,73.97,After
20-Feb-23,73.27,76.54,72.97,75.98,75.98,After
27-Feb-23,75.98,76.28,73.98,75.37,75.37,After
6-Mar-23,75.37,76.54,75.13,76.17,76.17,After
13-Mar-23,76.17,77.28,74.59,76.93,76.93,After
20-Mar-23,76.93,77.68,75.77,77.25,77.25,After
25-Mar-23,77.256,77.256,77.18,77.18,77.18,After
