Date,Open,High,Low,Close*,Adj Close**,Volume,Statues
21-Mar-21,"3,879.34","3,978.19","3,853.50","3,974.54","3,974.54","10,431,500,000",Before
29-Mar-21,"3,969.31","4,020.63","3,943.25","4,019.87","4,019.87","17,489,870,000",Before
5-Apr-21,"4,034.44","4,129.48","4,034.44","4,128.80","4,128.80","19,754,600,000",Before
12-Apr-21,"4,124.71","4,191.31","4,114.82","4,185.47","4,185.47","19,506,210,000",Before
19-Apr-21,"4,179.80","4,194.17","4,118.38","4,180.17","4,180.17","19,855,210,000",Before
26-Apr-21,"4,185.03","4,218.78","4,174.85","4,181.17","4,181.17","19,845,940,000",Before
3-May-21,"4,191.98","4,238.04","4,128.59","4,232.60","4,232.60","21,280,680,000",Before
10-May-21,"4,228.29","4,236.39","4,056.88","4,173.85","4,173.85","22,952,900,000",Before
17-May-21,"4,169.92","4,188.72","4,061.41","4,155.86","4,155.86","20,744,780,000",Before
24-May-21,"4,170.16","4,218.36","4,170.16","4,204.11","4,204.11","23,343,500,000",Before
31-May-21,"4,216.52","4,234.12","4,167.93","4,229.89","4,229.89","20,636,100,000",Before
7-Jun-21,"4,229.34","4,249.74","4,208.41","4,247.44","4,247.44","22,073,020,000",Before
14-Jun-21,"4,248.31","4,257.16","4,164.40","4,166.45","4,166.45","24,868,180,000",Before
21-Jun-21,"4,173.40","4,286.12","4,173.40","4,280.70","4,280.70","22,845,800,000",Before
28-Jun-21,"4,284.90","4,355.43","4,274.67","4,352.34","4,352.34","19,135,150,000",Before
5-Jul-21,"4,356.46","4,371.60","4,289.37","4,369.55","4,369.55","16,225,570,000",Before
12-Jul-21,"4,372.41","4,393.68","4,322.53","4,327.16","4,327.16","18,977,190,000",Before
19-Jul-21,"4,296.40","4,415.18","4,233.13","4,411.79","4,411.79","21,304,580,000",Before
26-Jul-21,"4,409.58","4,429.97","4,372.51","4,395.26","4,395.26","20,734,210,000",Before
2-Aug-21,"4,406.86","4,440.82","4,373.00","4,436.52","4,436.52","19,171,320,000",Before
9-Aug-21,"4,437.77","4,468.37","4,424.74","4,468.00","4,468.00","17,260,230,000",Before
16-Aug-21,"4,461.65","4,480.26","4,367.73","4,441.67","4,441.67","19,014,210,000",Before
23-Aug-21,"4,450.29","4,513.33","4,450.29","4,509.37","4,509.37","17,595,630,000",Before
30-Aug-21,"4,513.76","4,545.85","4,513.76","4,535.43","4,535.43","18,470,230,000",Before
6-Sep-21,"4,535.38","4,535.38","4,457.66","4,458.58","4,458.58","14,932,410,000",Before
13-Sep-21,"4,474.81","4,492.99","4,427.76","4,432.99","4,432.99","22,890,790,000",Before
20-Sep-21,"4,402.95","4,465.40","4,305.91","4,455.48","4,455.48","20,058,800,000",Before
27-Sep-21,"4,442.12","4,457.30","4,288.52","4,357.04","4,357.04","20,646,370,000",Before
4-Oct-21,"4,348.84","4,429.97","4,278.94","4,391.34","4,391.34","19,344,290,000",Before
11-Oct-21,"4,385.44","4,475.82","4,329.92","4,471.37","4,471.37","17,878,150,000",Before
18-Oct-21,"4,463.72","4,559.67","4,447.47","4,544.90","4,544.90","18,372,450,000",Before
25-Oct-21,"4,553.69","4,608.08","4,537.36","4,605.38","4,605.38","20,648,340,000",Before
1-Nov-21,"4,610.62","4,718.50","4,595.06","4,697.53","4,697.53","21,195,930,000",Before
8-Nov-21,"4,701.48","4,714.92","4,630.86","4,682.85","4,682.85","20,545,980,000",Before
15-Nov-21,"4,689.30","4,717.75","4,672.78","4,697.96","4,697.96","19,909,710,000",Before
22-Nov-21,"4,712.00","4,743.83","4,585.43","4,594.62","4,594.62","15,654,820,000",Before
29-Nov-21,"4,628.75","4,672.95","4,495.12","4,538.43","4,538.43","26,646,380,000",Before
6-Dec-21,"4,548.37","4,713.57","4,540.51","4,712.02","4,712.02","21,271,750,000",Before
13-Dec-21,"4,710.30","4,731.99","4,600.22","4,620.64","4,620.64","26,609,380,000",Before
20-Dec-21,"4,587.90","4,740.74","4,531.10","4,725.79","4,725.79","14,940,780,000",Before
27-Dec-21,"4,733.99","4,808.93","4,733.99","4,766.18","4,766.18","14,244,290,000",Before
3-Jan-22,"4,778.14","4,818.62","4,662.74","4,677.03","4,677.03","21,878,940,000",Before
10-Jan-22,"4,655.34","4,748.83","4,582.24","4,662.85","4,662.85","21,251,840,000",Before
17-Jan-22,"4,632.24","4,632.24","4,395.34","4,397.94","4,397.94","19,444,410,000",Before
24-Jan-22,"4,356.32","4,453.23","4,222.62","4,431.85","4,431.85","27,889,090,000",Before
31-Jan-22,"4,431.79","4,595.31","4,414.02","4,500.53","4,500.53","23,505,280,000",Before
7-Feb-22,"4,505.75","4,590.03","4,401.41","4,418.64","4,418.64","23,778,810,000",Before
14-Feb-22,"4,412.61","4,489.55","4,327.22","4,348.87","4,348.87","22,562,340,000",Before
21-Feb-22,"4,332.74","4,385.34","4,114.65","4,384.65","4,384.65","21,848,520,000",After
28-Feb-22,"4,354.17","4,416.78","4,279.54","4,328.87","4,328.87","28,092,740,000",After
7-Mar-22,"4,327.01","4,327.01","4,157.87","4,204.31","4,204.31","29,765,730,000",After
14-Mar-22,"4,202.75","4,465.40","4,161.72","4,463.12","4,463.12","30,540,660,000",After
21-Mar-22,"4,462.40","4,546.03","4,424.30","4,543.06","4,543.06","22,611,740,000",After
28-Mar-22,"4,541.09","4,637.30","4,507.57","4,545.86","4,545.86","23,169,700,000",After
4-Apr-22,"4,547.97","4,593.45","4,450.04","4,488.28","4,488.28","23,239,490,000",After
11-Apr-22,"4,462.64","4,471.00","4,381.34","4,392.59","4,392.59","16,329,620,000",After
18-Apr-22,"4,385.63","4,512.94","4,267.62","4,271.78","4,271.78","21,597,890,000",After
25-Apr-22,"4,255.34","4,308.45","4,124.28","4,131.93","4,131.93","24,637,900,000",After
2-May-22,"4,130.61","4,307.66","4,062.51","4,123.34","4,123.34","25,076,170,000",After
9-May-22,"4,081.27","4,081.27","3,858.87","4,023.89","4,023.89","29,126,270,000",After
16-May-22,"4,013.02","4,090.72","3,810.32","3,901.36","3,901.36","24,603,940,000",After
23-May-22,"3,919.42","4,158.49","3,875.13","4,158.24","4,158.24","23,231,370,000",After
30-May-22,"4,151.09","4,177.51","4,073.85","4,108.54","4,108.54","19,471,340,000",After
6-Jun-22,"4,134.72","4,168.78","3,900.16","3,900.86","3,900.86","21,764,190,000",After
13-Jun-22,"3,838.15","3,838.15","3,636.87","3,674.84","3,674.84","30,486,930,000",After
20-Jun-22,"3,715.31","3,913.65","3,715.31","3,911.74","3,911.74","23,570,150,000",After
27-Jun-22,"3,920.76","3,945.86","3,738.67","3,825.33","3,825.33","21,693,690,000",After
4-Jul-22,"3,792.61","3,918.50","3,742.06","3,899.38","3,899.38","17,073,700,000",After
