DATE,PAYEMS,Statues
2/1/2021,143544,Before
3/1/2021,144328,Before
4/1/2021,144614,Before
5/1/2021,145096,Before
6/1/2021,145789,Before
7/1/2021,146558,Before
8/1/2021,147221,Before
9/1/2021,147778,Before
10/1/2021,148559,Before
11/1/2021,149173,Before
12/1/2021,149742,Before
1/1/2022,150106,Before
2/1/2022,151010,After
3/1/2022,151424,After
4/1/2022,151678,After
5/1/2022,152042,After
6/1/2022,152412,After
7/1/2022,152980,After
8/1/2022,153332,After
9/1/2022,153682,After
10/1/2022,154006,After
11/1/2022,154296,After
12/1/2022,154535,After
1/1/2023,155039,After
2/1/2023,155350,After
